REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,HOARD,WEIGHT,DONOR,DONORREF,WALKER,COMMENTS,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,SILVER,BISMUTH,BULLION,,
A27,Didrachm,"ΑΓΡΙΠΠεΙΝΗC CεΒΑΣΤΗC, draped bust of Agrippina II, l.","ΝεΡWΝΟC KAICAPOC ΓεΡΜΑΝΙΚΟΥ, draped bust of young Nero, l.",Antioch,Claudius,<null>,<null>,6.15,Ashmolean Museum,,,,0.007,0.70,6.57,0.002,0.0001,0.29,0.003,0.0035,0.0070,0.0001,0.0001,0.0001,92.39,0.037,93.41,,
A28,Didrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤ, laur. hd., r.","ΔΙΔΡΑΧΜΟΝ, lituus and simpulum, in exergue, ΕΡ Γ, yr. 3/105.",Antioch,Nero,<null>,<null>,6.90,Ashmolean Museum,,,,0.048,0.21,48.63,0.014,0.0137,0.66,0.038,0.0487,0.0012,0.0001,0.0002,0.0026,50.32,0.017,51.20,,
A30,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. bust, r., with aegis","Eagle on thunderbolt, l., to l., palm branch, to r., Ζ ΘΡ, Yr. 7/109.",Antioch,Nero,<null>,<null>,14.26,Ashmolean Museum,,-1,Walker: 77% AR. 7/109,0.027,0.41,30.75,0.014,0.0043,0.95,0.063,0.2778,0.0083,0.0002,0.0002,0.0003,67.49,0.012,68.85,,
A31,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. bust, r., with aegis","Eagle on thunderbolt, l., to l., palm branch, to r., Η ΙΡ, Yr. 8/110.",Antioch,Nero,<null>,<null>,14.78,Ashmolean Museum,,-1,Walker: 73.5% AR. 8/110,0.035,0.42,29.49,0.014,0.0116,0.63,0.024,0.0416,0.0016,0.0001,0.0001,0.0021,69.31,0.023,70.38,,
A32,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd, r., with aegis","ΕΤΟΥΣ ΑΙΡ Θ, eagle on thunderbolt, r., to r., dot and palm branch Yr. 9/111.",Antioch,Nero,<null>,<null>,13.95,Ashmolean Museum,,,9/111,0.035,0.44,31.02,0.005,0.0032,0.27,0.038,0.1393,0.0001,0.0001,0.0035,0.1225,67.90,0.033,68.64,,
A33,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd, r., with aegis","ΕΤΟΥΣ ΒΙΡ Ι, eagle on thunderbolt, r., to r., palm branch, Yr. 10/112.",Antioch,Nero,<null>,<null>,14.46,Ashmolean Museum,,-1,Walker: 84.5% AR. 10/112,0.020,0.51,27.49,0.005,0.0039,0.22,0.035,0.0011,0.0001,0.0001,0.0001,0.0002,71.72,0.001,72.44,,
E1,Tetradrachm,"ΓΑΙΟΥ ΚΑΙΣΑΡΟΣ ΣΕΒΑ ΓΕΡΜΑ, laur. hd., r.","ΑΓΡΙΠΠΕΙΝΗΣ ΑΝΤΙΟ ΜΗΤΡΟ, draped bust of Agrippina I, r., to r., ΕΤ Β and dot",Antioch,Caligula,<null>,<null>,13.05,bought,,,Stripped - artificially high silver content?,0.070,0.37,27.94,0.013,0.0109,0.43,0.012,0.1929,0.0014,0.0001,0.0001,0.0119,70.94,0.004,71.75,,
E3,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΛΑΥΔΙΟΥ ΘΕΟΥ ΥΙ ΚΑΙΣΑΡΟΣ ΣΕΒ, head with oak wreath, r.","ΘΕΟΥ ΚΛΑΥΔΙΟΥ, laur. hd. of Claudius, r., to r., Γ ΕΡ",Syria,Nero,<null>,<null>,14.52,bought,,,,0.026,0.22,50.34,0.015,0.0098,0.67,0.021,0.0012,0.0001,0.0001,0.0001,0.0016,48.69,0.013,49.59,,
BW1,Tetradrachm,"ΤΙ ΚΛΑVΔΙ ΚΑΙΣ ΣΕΒΑ ΓΕΡΜΑΝΙ ΑVΤΟΚ, laur. hd., r., to r., LΔ ","ΜΕΣΣΑΛΙΝΑ ΚΑΙΣ ΣΕΒΑΣ, Messalina std., l.",Alexandria,Claudius,<null>,<null>,<null>,bought,,,,0.122,0.01,71.45,0.022,0.0656,20.16,0.089,7.9226,0.0222,0.0001,0.0001,0.0139,0.12,0.001,20.29,,
BW2,Tetradrachm,"ΝΕΡΩ ΚΛΑV ΚΑΙΣ ΣΕΒ ΓΕΡ, radiate hd., r.","ΑΥΤΟΚΡΑ, bust of Serapis, r. to r., LI,  yr 10=AD 63/4",Alexandria,Nero,<null>,<null>,<null>,bought,,,,0.066,0.08,82.62,0.017,0.0293,0.40,0.031,0.0079,0.0009,0.0001,0.0001,0.0051,16.74,0.008,17.23,,
BW3,Tetradrachm,"ΝΕΡO ΚΛΑV ΚΑΙΣ ΣΕΒ ΓΕΡ ΑV, radiate hd., r.","ΠΟΠΠΑΙΑ ΣΕΒΑΣΤΗ, bust of Poppaea, r. to r., LI,  yr 10=AD 63/4",Alexandria,Nero,<null>,<null>,<null>,bought,,,,0.066,0.08,80.92,0.008,0.0275,0.39,0.035,0.0014,0.0005,0.0001,0.0001,0.0031,18.46,0.003,18.94,,
BW4,Tetradrachm,"ΤΙ ΚΛΑVΔΙ ΚΑΙΣ ΣΕΒΑ ΓΕΡΜΑΝΙ ΑVΤΟΚ, laur. hd., r., to r., LΓ","ΜΕΣΣΑΛΙΝΑ ΚΑΙΣ ΣΕΒΑΣ, Messalina std., l.",Alexandria,Claudius,<null>,<null>,<null>,bought,,,,0.019,0.23,79.59,0.004,0.0094,0.10,0.019,0.0025,0.0062,0.0001,0.0001,0.0001,19.99,0.028,20.35,,
BW5,Tetradrachm,"ΝΕΡO ΚΛΑV ΚΑΙΣ ΣΕΒ ΓΕΡ ΑV, radiate hd., r.","ΠΟΠΠΑΙΑ ΣΕΒΑΣΤΗ, bust of Poppaea, r. to r., LI,  yr 10=AD 63/4",Alexandria,Nero,<null>,<null>,<null>,bought,,,,0.046,0.09,82.62,0.019,0.0297,0.28,0.019,0.0012,0.0024,0.0002,0.0005,0.0044,16.88,0.003,17.26,,
BW6,Tetradrachm,"ΝΕΡΩ ΚΛΑV ΚΑΙΣ ΣΕΒ ΓΕΡ, radiate hd., r.","ΑΥΤΟΚΡΑ, bust of Serapis, r. to r., LI,  yr 10=AD 63/4",Alexandria,Nero,<null>,<null>,<null>,bought,,,,0.071,0.09,80.93,0.012,0.0285,0.44,0.035,0.0376,0.0009,0.0001,0.0001,0.0041,18.35,0.006,18.88,,
BW7,Tetradrachm,"ΤΙ ΚΛΑVΔΙ ΚΑΙΣ ΣΕΒΑ ΓΕΡΜΑΝΙ ΑVΤΟΚ, laur. hd., r., to r., LΔ","ΜΕΣΣΑΛΙΝΑ ΚΑΙΣ ΣΕΒΑΣ, Messalina std., l.",Alexandria,Claudius,<null>,<null>,<null>,bought,,,,0.010,0.17,76.25,0.003,0.0076,0.37,0.025,0.0013,0.0001,0.0001,0.0001,0.0001,23.15,0.019,23.71,,
BW8,Tetradrachm,"ΤΙ ΚΛΑVΔΙ ΚΑΙΣ ΣΕΒΑ ΓΕΡΜΑΝΙ ΑVΤΟΚ, laur. hd., r., to r., LΔ","ΜΕΣΣΑΛΙΝΑ ΚΑΙΣ ΣΕΒΑΣ, Messalina std., l.",Alexandria,Claudius,<null>,<null>,<null>,bought,,,,0.013,0.18,79.25,0.003,0.0113,0.27,0.009,0.0014,0.0001,0.0001,0.0001,0.0001,20.24,0.015,20.71,,
BW10,Tetradrachm,"ΝΕΡΩ ΚΛΑV ΚΑΙΣ ΣΕΒ ΓΕΡ, radiate hd., r. ","ΑΥΤΟΚΡΑ, bust of Serapis, r. to r., LI,  yr 10=AD 63/4",Alexandria,Nero,<null>,<null>,<null>,bought,,,,0.073,0.08,80.73,0.009,0.0276,0.44,0.035,0.0028,0.0053,0.0001,0.0001,0.0028,18.57,0.012,19.11,,
BW12,Tetradrachm,"ΤΙ ΚΛΑVΔΙ ΚΑΙΣ ΣΕΒΑ ΓΕΡΜΑΝΙ ΑVΤΟΚ, laur. hd., r., to r., LΔ ","ΜΕΣΣΑΛΙΝΑ ΚΑΙΣ ΣΕΒΑΣ, Messalina std., l.",Alexandria,Claudius,<null>,<null>,<null>,bought,,,,0.010,0.19,77.18,0.001,0.0081,0.26,0.008,0.0011,0.0001,0.0001,0.0001,0.0001,22.32,0.016,22.79,,
BW13,Tetradrachm,"ΝΕΡO ΚΛΑV ΚΑΙΣ ΣΕΒ ΓΕΡ ΑV, radiate hd., r. ","ΠΟΠΠΑΙΑ ΣΕΒΑΣΤΗ, bust of Poppaea, r. to r., LI,  yr 10=AD 63/4",Alexandria,Nero,<null>,<null>,<null>,bought,,,,0.069,0.08,82.34,0.018,0.0296,0.39,0.037,0.0450,0.0010,0.0001,0.0001,0.0057,16.97,0.004,17.45,,
BW14,Tetradrachm,"ΤΙ ΚΛΑVΔΙ ΚΑΙΣ ΣΕΒΑ ΓΕΡΜΑΝΙ ΑVΤΟΚ, laur. hd., r., to r., LΔ ","ΜΕΣΣΑΛΙΝΑ ΚΑΙΣ ΣΕΒΑΣ, Messalina std., l.",Alexandria,Claudius,<null>,<null>,<null>,bought,,,,0.012,0.17,74.89,0.001,0.0060,0.31,0.016,0.0059,0.0001,0.0001,0.0001,0.0001,24.57,0.018,25.07,,
BW15,Tetradrachm,"ΝΕΡO ΚΛΑV ΚΑΙΣ ΣΕΒ ΓΕΡ ΑV, radiate hd., r. ","ΠΟΠΠΑΙΑ ΣΕΒΑΣΤΗ, bust of Poppaea, r. to r., LI,  yr 10=AD 63/4",Alexandria,Nero,<null>,<null>,<null>,bought,,,,0.083,0.08,80.98,0.009,0.0268,0.40,0.024,0.0077,0.0016,0.0001,0.0001,0.0029,18.38,0.010,18.87,,
BW16,Tetradrachm,"ΤΙ ΚΛΑVΔΙ ΚΑΙΣ ΣΕΒΑ ΓΕΡΜΑΝΙ ΑVΤΟΚ, laur. hd., r., to r., LΓ ","ΜΕΣΣΑΛΙΝΑ ΚΑΙΣ ΣΕΒΑΣ, Messalina std., l.",Alexandria,Claudius,<null>,<null>,<null>,bought,,,,0.019,0.17,74.59,0.005,0.0052,0.25,0.011,0.0017,0.0002,0.0001,0.0001,0.0001,24.93,0.010,25.36,,
BW17,Tetradrachm,"ΝΕΡΩ ΚΛΑV ΚΑΙΣ ΣΕΒ ΓΕΡ, radiate hd., r. ","ΑΥΤΟΚΡΑ, bust of Serapis, r. to r., LI,  yr 10=AD 63/4",Alexandria,Nero,<null>,<null>,<null>,bought,,,,0.068,0.08,80.60,0.005,0.0285,0.34,0.022,0.0009,0.0001,0.0000,0.0002,0.0012,18.84,0.009,19.27,,
A1,Tetradrachm,"ΤΙΒΕΡΙΟΣ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd. r. ","ΘΕΟΣ ΣΕΒΑΣΤΟΣ, radiate head of Augustus, r., Yr 7.",Alexandria,Tiberius,<null>,<null>,12.16,Ashmolean Museum,,,,0.008,0.19,73.22,0.005,0.0090,0.11,0.005,0.0012,0.0052,0.0001,0.0001,0.0001,26.40,0.050,26.74,,
A2,Tetradrachm,"ΤΙΒΕΡΙΟΣ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd. r. ","ΘΕΟΣ ΣΕΒΑΣΤΟΣ, radiate head of Augustus, r., Yr 7.",Alexandria,Tiberius,<null>,<null>,12.81,Ashmolean Museum,,,,0.006,0.26,75.43,0.006,0.0082,0.10,0.001,0.0012,0.0094,0.0001,0.0001,0.0001,24.14,0.051,24.54,,
A3,Tetradrachm,"ΤΙΒΕΡΙΟΣ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd. r. ","ΘΕΟΣ ΣΕΒΑΣΤΟΣ, radiate head of Augustus, r. ",Alexandria,Tiberius,<null>,<null>,12.36,Ashmolean Museum,,-1,,0.177,0.19,74.98,0.006,0.0310,0.14,0.022,0.0013,0.0127,0.0001,0.0004,0.0035,24.40,0.026,24.77,,
A4,Tetradrachm,"ΤΙΒΕΡΙΟΣ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd. r. ","ΘΕΟΣ ΣΕΒΑΣΤΟΣ, radiate head of Augustus, r. , ",Alexandria,Tiberius,<null>,<null>,14.11,Ashmolean Museum,,-1,,0.189,0.19,73.69,0.005,0.0326,0.18,0.063,0.0008,0.0129,0.0002,0.0005,0.0082,25.63,0.001,26.00,,
A5,Tetradrachm,"ΤΙΒΕΡΙΟΣ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd. r. ","ΘΕΟΣ ΣΕΒΑΣΤΟΣ, radiate head of Augustus, r. ",Alexandria,Tiberius,<null>,<null>,13.64,Ashmolean Museum,,-1,,0.185,0.20,73.81,0.002,0.0314,0.12,0.025,0.0047,0.0033,0.0001,0.0001,0.0120,25.57,0.041,25.93,,
A6,Tetradrachm,"ΤΙΒΕΡΙΟΣ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ, laur. hd. r. ","ΘΕΟΣ ΣΕΒΑΣΤΟΣ, radiate head of Augustus, r. ",Alexandria,Tiberius,<null>,<null>,13.25,Ashmolean Museum,,-1,,0.103,0.07,75.85,0.011,0.0263,0.17,0.007,0.0012,0.0021,0.0001,0.0002,0.0589,23.70,0.001,23.94,,
H2,Tetradrachm,"ΝΕΡΩΝ ΚΑΙCΑΡ CΕΒΑCΤΟC, laur. hd, r. with aegis ","ΕΤΟΥC GΙΡ, eagle with wreath in beak on wreath, l., to l., palm branch Yr. 116",Antioch,Nero,<null>,<null>,<null>,,,,Sectioned for SEM.,0.021,0.40,32.20,0.002,0.0030,0.32,0.020,0.0000,0.0030,0.0000,0.0001,0.0001,66.40,0.019,67.14,,
A13,Didrachm,"NERO CLAVD DIVI CLAVD F CAESAR AVG GERMA, laur. hd., l. ","DIVOS CLAVD AVGVST GERMANIC PATER AVG, laur. hd. of Claudius, r.",Caesarea,Nero,<null>,<null>,7.82,Ashmolean Museum,,-1,"Later group, legends ending GERMA.",0.012,0.48,27.80,0.002,0.0014,0.21,0.007,0.0012,0.0001,0.0001,0.0001,0.0001,71.48,0.001,72.18,,
B466,Tetradrachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. hd, r., with aegis ","Eagle on thunderbolt, l.,  to l., palm branch,  to r., ΗΙ Ρ, Yr. 8/110=AD 61/2",Antioch,Nero,<null>,<null>,<null>,Bruno,,,8/110,0.022,0.44,27.92,0.007,0.0032,0.29,0.014,0.0157,0.0002,0.0001,0.0001,0.0001,71.25,0.034,72.01,,
P87,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΥ, laur. hd, r., with aegis ","ΕΤΟΥΣ ΑΙΡ Ι, eagle on thunderbolt, r., to r., dot and palm branch Yr. 10/111.",Antioch,Nero,<null>,<null>,<null>,Prieur,,,10/111,0.031,0.45,34.47,0.038,0.0048,0.24,0.035,0.0064,0.0001,0.0001,0.0001,0.0003,64.68,0.042,65.42,,
KB17,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΥ, laur. hd, r., with aegis ","ΕΤΟΥΣ ΑΙΡ Ι, eagle on thunderbolt, r., to r., dot and palm branch Yr. 10/111.",Antioch,Nero,<null>,<null>,<null>,Private,1997-213,,10/111,0.024,0.43,35.63,0.040,0.0043,0.34,0.029,0.0024,0.0001,0.0001,0.0008,0.0004,63.41,0.076,64.27,,
A29,Drachm,"ΝΕΡΩΝΟΣ ΚΑΙΣΑΡΟΣ ΣΕΒΑ, laur. hd., r. ","ΔΡΑΧΜΗ, tripod with snake,  above, ΕΡ Γ, yr. 3/105.",Antioch,Nero,<null>,<null>,3.33,Ashmolean Museum,,-1,,0.047,0.22,50.21,0.015,0.0140,0.75,0.023,0.0518,0.0012,0.0001,0.0001,0.0290,48.62,0.017,49.61,,
BW9,Tetradrachm,"ΤΙ ΚΛΑVΔΙ ΚΑΙΣ ΣΕΒΑ ΓΕΡΜΑΝΙ ΑVΤΟΚ, laur. hd., r., to r., LΓ ","ΜΕΣΣΑΛΙΝΑ ΚΑΙΣ ΣΕΒΑΣ, Messalina std., l.",Alexandria,Claudius,<null>,<null>,<null>,bought,,,,0.029,0.18,75.94,0.000,0.0052,0.24,0.031,0.0014,0.0001,0.0001,0.0001,0.0001,23.57,0.014,23.99,,
A17,Tetradrachm,"NERO CLAVD DIVI CLAVD F CAESAR AVG GER, laur. hd., r. ","DIVOS CLAVD AVG GERMANIC PATER AVG, laur. hd. of Claudius, r.",Syria,Nero,<null>,<null>,13.71,Ashmolean Museum,,,,0.019,0.31,51.75,0.001,0.0047,0.24,0.024,0.0011,0.0001,0.0001,0.0001,0.0002,47.65,0.005,48.20,,
KB6,Tetradrachm,"Diademed hd. of Philip Philadelphus, r. ","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre,  in exergue Δ, yr. 4.",Antioch,Posthumous Philip,<null>,<null>,<null>,Private,,,Phase I,0.023,0.28,29.17,0.006,0.0142,1.75,0.028,0.0593,0.0022,0.0001,0.0001,0.0016,68.60,0.069,70.70,,
A34,Tetradrachm,"ΝΕΡΩΝ ΚΑΙCΑΡ CΕΒΑCΤΟC, laur. hd, l. ","ΕΤΟΥC ΔΙΡ, eagle on club, r., to l., palm branch Yr. 114.",Antioch,Nero,<null>,<null>,13.78,Ashmolean Museum,,,,0.026,0.51,26.34,0.012,0.0046,0.30,0.034,0.0871,0.0001,0.0001,0.0001,0.0001,72.67,0.010,73.50,,
KB3,Cistophorus,"TI CLAVD CAES AVG, bare hd., l. ","Claudius and Fortuna std. holding cornucopia in temple with two columns, ROM ET AVG on pediment, COM-ASI across field.",Pergamon/Ephesus?,Claudius,<null>,<null>,<null>,Private,MGH,,,0.014,0.41,21.24,0.006,0.0074,0.71,0.010,0.0015,0.0004,0.0001,0.0045,0.1385,77.38,0.069,78.58,,
B474,Tetradrachm,"ΝΕΡΩΝ ΚΑΙCΑΡ CΕΒΑCΤΟC, laur. hd, r. with aegis ","ΕΤΟΥC GΙΡ, eagle with wreath in beak on wreath, l., to l., palm branch Yr. 116=AD 67/8",Antioch,Nero,<null>,<null>,<null>,Bruno,,,,0.021,0.44,30.34,0.007,0.0031,0.23,0.013,0.2617,0.0246,0.0001,0.0001,0.0001,68.64,0.025,69.33,,
P57,Tetradrachm,"ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. hd., r. ","ΑΝΤΙΟΧΕΩΝ ΜΗΤΡΟΠΟΛΕΩΣ ΕΤΟΥΣ GΛ ΝΙΚΗΣ, Tyche of Antioch seated, r., with palm branch, before river god Orontes, in field, ΥΠΑ ΔΝ and ΑΝΤ, yr. 36 AND 54.",Antioch,Augustus,<null>,<null>,<null>,Prieur,,,,0.023,0.27,46.42,0.012,0.0065,0.66,0.050,0.4774,0.0386,0.0001,0.0003,0.0003,52.01,0.027,52.97,,
KB19,Tetradrachm,"ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΥ, laur. hd, r., with aegis, dot beneath. ","ΕΤΟΥΣ ΒΙΡ Ι, eagle on thunderbolt, r., to r., dot and palm branch Yr. 10/112.",Antioch,Nero,<null>,<null>,<null>,Private,1997-246,,10/111,0.018,0.45,28.34,0.007,0.0033,0.25,0.015,0.0012,0.0001,0.0001,0.0001,0.0001,70.86,0.056,71.61,,
A24,Tetradrachm,"ΚΑΙΣΑΡΟΣ ΣΕΒΑΣΤΟΥ, laur. hd., r. ","ΕΤΟΥΣ ΖΚ ΝΙΚΗΣ, Tyche of Antioch seated, r., with palm branch, before river god Orontes, in field, ΥΠΑ ΙΒ and ΑΝΤ, yr. 27.",Antioch,Augustus,<null>,<null>,14.71,Ashmolean Museum,,-1,,0.043,0.32,35.11,0.004,0.0125,0.72,0.003,0.0260,0.0003,0.0001,0.0001,0.0077,63.74,0.010,64.79,,
BW11,Tetradrachm,"ΤΙ ΚΛΑVΔΙ ΚΑΙΣ ΣΕΒΑ ΓΕΡΜΑΝΙ ΑVΤΟΚ, laur. hd., r., to r., LΓ  ","ΜΕΣΣΑΛΙΝΑ ΚΑΙΣ ΣΕΒΑΣ, Messalina std., l.",Alexandria,Claudius,<null>,<null>,<null>,bought,,,,0.022,0.20,74.48,0.003,0.0059,0.08,0.020,0.0021,0.0057,0.0001,0.0001,0.0001,25.16,0.021,25.46,,
w55,,"ΑΥΤ ΚΑΙ ΔΟΜΙΤΙΑΝΟC CΕΒΑCTOC ΓΕΡΜ, laur. hd. r. ","ΕΤΟ - ΙΓ, Athena stg. L",Caesarea,Domitian,<null>,<null>,<null>,Münzkabinett-Winterthur,G4818,,,0.195,0.01,53.63,0.028,0.0220,0.40,0.017,0.0030,0.0010,0.0000,0.0000,0.0790,45.60,0.057,46.00,,
w73,,,,Mauretania,Juba I,<null>,<null>,<null>,Münzkabinett-Winterthur,G5959,,,0.007,0.49,1.57,0.009,0.0003,0.50,0.003,0.0419,0.0006,0.0005,0.0002,0.0004,97.33,0.052,98.36,,
w74,,,Cleopatra bust,Mauretania,Juba and Cleo.,<null>,<null>,<null>,Münzkabinett-Winterthur,G5961,,,0.011,0.39,12.57,0.023,0.0067,0.45,0.005,0.0154,0.0463,0.0000,0.0003,0.0004,86.39,0.075,87.31,,
w75,,,Temple,Mauretania,Juba II,<null>,<null>,<null>,Münzkabinett-Winterthur,G5975,,,0.016,2.04,20.34,0.006,0.0061,0.23,0.011,0.0034,0.0006,0.0000,0.0002,0.0003,77.23,0.109,79.61,,
w76,,,Crescent and star,Mauretania,Juba II and Cleo.,<null>,<null>,<null>,Münzkabinett-Winterthur,G5998,,,0.012,3.12,7.01,0.010,0.0040,0.09,0.006,0.0052,0.0009,0.0001,0.0004,0.0005,89.50,0.239,92.95,,
w77,,,"Crescent, Isis crown, corn ears ",Mauretania,Juba II and Cleo.,<null>,<null>,<null>,Münzkabinett-Winterthur,G6001,,,0.009,1.31,7.46,0.005,0.0018,0.22,0.004,0.0040,0.0007,0.0001,0.0003,0.0004,90.66,0.318,92.51,,
w78,,,"Crescent, Isis crown, corn ears",Mauretania,Juba II and Cleo.,<null>,<null>,<null>,Münzkabinett-Winterthur,G6002,,,0.015,0.95,8.16,0.003,0.0028,0.07,0.003,0.0031,0.0006,0.0002,0.0002,0.0005,90.20,0.578,91.81,,
w79,,,"Crescent, Isis crown, corn ears",Mauretania,Juba II and Cleo.,<null>,<null>,<null>,Münzkabinett-Winterthur,G6003,,,0.006,1.19,4.03,0.004,0.0023,0.24,0.003,0.0027,0.0005,0.0002,0.0002,0.0005,94.17,0.342,95.95,,
w80,,,Eagle on thunderbolt,Mauretania,Juba II,<null>,<null>,<null>,Münzkabinett-Winterthur,G6012,,,0.009,1.37,5.15,0.006,0.0021,0.13,0.004,0.0037,0.0007,0.0002,0.0003,0.0003,93.01,0.310,94.82,,
w81,,,"Cornucopiae, sceptre",Mauretania,Juba II,<null>,<null>,<null>,Münzkabinett-Winterthur,G6025,,,0.023,0.71,7.28,0.008,0.0042,0.05,0.005,0.0541,0.0015,0.0001,0.0003,0.0004,91.45,0.410,92.62,,
w82,,,Crocodile,Mauretania,Juba II and Cleo.,<null>,<null>,<null>,Münzkabinett-Winterthur,G6027,,,0.005,1.32,7.26,0.004,0.0081,0.22,0.003,0.0023,0.0004,0.0002,0.0005,0.0002,90.89,0.275,92.71,,
w83,,,Caesarea R XXXXI in wreath,Mauretania,Juba II,<null>,<null>,<null>,Münzkabinett-Winterthur,G6013,,,0.008,1.46,5.88,0.007,0.0020,0.09,0.012,0.0034,0.0006,0.0002,0.0002,0.0003,92.21,0.331,94.09,,
w84,,,Capricorn R XXXXI,Mauretania,Juba II,<null>,<null>,<null>,Münzkabinett-Winterthur,G6020,,,0.010,2.13,8.95,0.017,0.0005,0.20,0.005,0.0042,0.0008,0.0002,0.0003,0.0004,88.53,0.152,91.01,,
BRTN21,Drachm,"ΑΥΤ ΚΑΙ ΔΟΜΙΤΙΑΝΟC CΕΒΑCTOC ΓΕΡΜ, laur. hd. r. ","ΕΤΟ - ΙΓ, Athena stg. r.",Caesarea,Domitian,<null>,<null>,<null>,Bristol City Museum,6,,,0.194,0.03,53.79,0.010,0.0254,0.41,0.013,0.0024,0.0004,0.0002,0.0003,0.0237,45.45,0.050,45.94,,
M66,Tetradrachm,"ΑΥΤΟΚΡΑΤWΡ.ΜAPKOC.ΟΘWΝ.ΚΑΙCΑΡ.CεΒΑCΤΟC, laur. hd. r. ","ΕTOYC A, eagle with wreath in beak l. ",Antioch,Otho,<null>,<null>,<null>,Muona,,,CRS Group 1,0.011,0.37,26.26,0.004,0.0031,0.21,0.015,0.0030,0.0015,0.0001,0.0001,0.0002,73.74,0.016,74.33,,
KB1297,Tetradrachm,,,Seleucia,Augustus,<null>,<null>,<null>,Private,1297,,,0.041,0.26,32.65,0.006,0.0207,0.79,0.015,0.1310,0.0034,0.0001,0.0001,0.0059,67.35,0.008,68.41,,
w71,Tetradrachm,,Yr 9,Alexandria,Cleopatra,<null>,<null>,<null>,Münzkabinett-Winterthur,G5736,,,0.146,0.10,69.44,0.095,0.0242,0.38,0.011,0.0175,0.0044,0.0001,0.0001,0.0585,30.56,0.001,31.04,,
M63,Tetradrachm,"ΑΥΤΟΚ.ΜΑΡΚ.ΟΘΩΝΟΣ.ΚΑΙΣ.ΣΕΒ, laur. hd. r. LA in field ","ΕΛΕΥΘΕΡΙΑ, eleutheria stg. l. year 1.",Alexandria,Otho,<null>,<null>,<null>,Muona,,,,0.065,0.12,81.80,0.009,0.0121,0.15,0.048,0.0028,0.0014,0.0000,0.0001,0.0004,18.20,0.001,18.47,,
MP1,Drachm,,,Caesarea,Tiberius/Drusus,<null>,<null>,<null>,Private,,,,0.004,0.40,26.37,0.004,0.0014,0.20,0.004,0.0029,0.0014,0.0000,0.0001,0.0002,73.63,0.001,74.23,,
M64,Tetradrachm,"ΑΥΤΟΚ.ΜΑΡΚ.ΟΘΩΝΟΣ.ΚΑΙΣ.ΣΕΒ, laur. hd. r. LA in field ","ΕΛΕΥΘΕΡΙΑ, eleutheria stg. l. year 1.",Alexandria,Otho,<null>,<null>,<null>,Muona,,,Sectioned for SEM.  Silver 19% by EDS.,0.054,0.12,78.83,0.013,0.0199,0.16,0.019,0.0105,0.0098,0.0002,0.0003,0.0023,21.17,0.001,21.45,,
