REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,HOARD,WEIGHT,DONOR,DONORREF,WALKER,COMMENTS,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,SILVER,BISMUTH,BULLION,,
KB1193,Drachm,,"Mt. Argaeus, yr.10",Caesarea,Nero,<null>,<null>,<null>,Private,1193,,,0.027,0.24,33.76,0.011,0.0138,0.58,0.041,0.0736,0.0020,0.0001,0.0001,0.0003,66.24,0.033,67.10,,
KBB11,Tetradrachm,,"Eagle on altar, yr.4",Antioch,Vespasian,<null>,<null>,<null>,Private,B11,,"CRS Eagle on altar, RPC II Group 8 (Banias hoard)",0.030,0.36,26.22,0.013,0.0039,0.39,0.020,0.1515,0.0038,0.0001,0.0004,0.0036,73.78,0.011,74.53,,
KB28,Tetradrachm,"Diademed hd. of Philip Philadelphus, r. ","ΒΑΣΙΛΕΩΣ ΦΙΛΙΠΠΟΥ ΕΠΙΦΑΝΟΥΣ ΦΙΛΑΔΕΛΦΟΥ, Zeus, seated l., holding Nike and sceptre in exergue",Antioch,Philip,<null>,<null>,<null>,Private,2000-24,,,0.080,0.20,31.38,0.007,0.0106,1.80,0.016,0.0253,0.0175,0.0001,0.0001,0.0134,68.62,0.004,70.62,,
w65,,,,Antioch,Philip,<null>,<null>,<null>,Münzkabinett-Winterthur,G5068,,,0.015,0.23,16.71,0.121,0.0068,1.15,0.004,0.0029,0.0014,0.0009,0.0002,0.0002,83.29,0.068,84.74,,
KB30,Cistophorus,"IMP.CAES.DOMITIANVS.AVG.P.M.COS.VII, laur. hd. r. ",Standards,Ephesus,Domitian,<null>,<null>,<null>,Private,,,Rome style.,0.011,0.30,12.73,0.038,0.0024,0.43,0.003,0.0044,0.0006,0.0000,0.0022,0.0616,86.42,0.001,87.15,,
AR9,tetradrachm,"Head r., laureate, with aegis, ΑΥΤ ΝΕΡΟΥΑΣ - ΚΑΙΣ ΣΕΒ ","Eagle facing on thunderbolt, head r. wings outspread. In field r.: palm branch, ΕΤΟΥΣ ΝΕΟΥ ΙΕΡΟΥ• Α",Antioch,Nerva,<null>,Akko Remez,15.62,IAA,106223,,,0.021,0.42,15.38,0.001,0.0020,0.07,0.012,0.0044,0.0006,0.0000,0.0002,0.0002,84.08,0.001,84.58,,
AR3,tetradrachm,"Small bust l., laureate. Below: eagle stg. l., wings outspread, ΑΥΤΟΚΡΑΤ ΚΑΙΣΑ• ΟΥΕΣΠΑΣΙΑΝΟΥ ","Head of Titus r., behind: lituus, In field r.: B• ΦΛΑΥΙ ΟΥΕΣΠ ΚΑΙΣ ΕΤΟΥΣ ΝΕΟΥ ΙΕΡΟΥ",Antioch,Vespasian,<null>,Akko Remez,14,IAA,106208,,"Alexandria style, Kraay Mint A, RPC II Group 2, Titus",0.017,0.25,18.78,0.003,0.0021,0.51,0.012,0.0045,0.0006,0.0000,0.0002,0.0002,80.39,0.022,81.18,,
AR6,tetradrachm,"Head r., laureate, ΑΥΤΟΚΡΑΤ ΚΑΙΣΑ ΟΥΕΣΠΑ[ΣΙΑΝΟΥ] ","Eagle facing on club, head l., wings outspread. In field l.: palm branch, [EΤΟΥΣ] B ΙEΡΟΥ",Antioch,Vespasian,<null>,Akko Remez,14.02,IAA,106210,,"Alexandria style, Kraay Mint C, RPC II Group 3, Eagle",0.020,0.55,23.81,0.013,0.0030,0.39,0.022,0.0336,0.0008,0.0000,0.0001,0.0002,75.14,0.019,76.10,,
AR10,tetradrachm,"Head r., laureate, with aegis, ΑΥΤ ΝΕΡΟΥΑΣ - ΚΑΙΣ ΣΕΒ ","Eagle facing on thunderbolt, head r. wings outspread. In field r.: palm branch, ΕΤΟΥΣ• ΝΕΟΥ• ΙΕΡΟΥ• Α",Antioch,Nerva,<null>,Akko Remez,15.15,IAA,106222,,,0.011,0.37,13.14,0.001,0.0014,0.06,0.013,0.0040,0.0006,0.0000,0.0001,0.0002,86.39,0.001,86.83,,
E4,Cistophorus,M.ANTONIVS.IMP.COS.DESIG.ITER.ET.TERT. hd. r. ,"III.VIR.R.P.C., draped bust of Octavia above cista flanked bt twisting snakes.",Pergamon/Ephesus?,Antony,<null>,<null>,<null>,,H2175,,,0.005,0.28,11.85,0.002,0.0046,0.70,0.010,0.0096,0.0006,0.0000,0.0001,0.0002,87.10,0.035,88.12,,
AR2,tetradrachm,"Small bust l., laureate. Below: eagle stg. l., wings outspread, ΑΥΤΟΚΡΑΤ ΚΑΙΣΑ ΟΥΕΣΠΑ[ΣΙΑΝΟΥ] ","ΦΛΑΥΙ ΟΥΕΣΠ ΚΑΙΣ ΕΤΟΥΣ ΝΕΟΥ ΙΕΡΟΥ, Head of Titus r., behind: lituus, In field r.: B ",Antioch,Vespasian,<null>,Akko Remez,14.89,IAA,106207,,"Alexandria style, Kraay Mint A, RPC II Group 2, Titus",0.017,0.27,21.19,0.002,0.0023,0.53,0.014,0.0044,0.0006,0.0000,0.0001,0.0002,77.94,0.037,78.77,,
AR4,tetradrachm,"Small bust l., laureate. Below: eagle stg. l., wings outspread, ΑΥΤΟΚΡΑΤ ΚΑΙ[ΣΑ ΟΥΕΣ]ΠΑΣΙΑΝΟΥ ","ΦΛΑΥΙ ΟΥΕΣΠ ΚΑΙΣ ΕΤΟΥΣ ΝΕΟΥ ΙΕΡΟΥ, Head of Titus r. Behind: star, In field r.: B",Antioch,Vespasian,<null>,Akko Remez,14.59,IAA,106209,,"Alexandria style, Kraay Mint A, RPC II Group 2, Titus",0.013,0.29,20.48,0.006,0.0029,0.46,0.017,0.0047,0.0007,0.0000,0.0001,0.0002,78.69,0.030,79.47,,
KB1152,Didrachm,yr.3,,Antioch,Nero,<null>,<null>,<null>,Private,1152,,,0.018,0.13,29.09,0.465,0.0466,0.51,0.011,0.0043,0.2211,0.0106,0.0190,0.0051,69.45,0.011,70.11,,
AR1,tetradrachm,"Bust r., laureate, with aegis, ΝΕΡΩΝ ΚΑΙΣΑΡ ΣΕΒΑΣΤΟΣ ","Eagle facing, head r., on thunderbolt. In field r.:  palm branch, ΕΤΟΥΣ ΒΙΡ•Ι",Antioch,Nero,<null>,Akko Remez,15.02,IAA,106206,,Stripped. 10/112,0.014,0.34,19.64,0.001,0.0020,0.13,0.024,0.0046,0.0007,0.0000,0.0001,0.0002,79.85,0.001,80.31,,
KB1315,Cistophorus,,TRP.XIIII.COS.XVII,Ephesus,Domitian,<null>,<null>,<null>,Private,,,Rome style.,0.006,0.01,15.37,0.001,0.0024,0.28,0.003,0.0047,0.0007,0.0000,0.0001,0.0002,84.29,0.038,84.61,,
AR7,tetradrachm,"Head r., laureate, ΑΥΤΟΚΡΑΤ ΚΑΙΣΑ •ΟΥΕΣΠΑΣΙΑΝΟΥ ","Eagle facing on club, head l., wings outspread. In field r.: palm branch, EΤΟΥΣ E(?) ΙEΡΟΥ",Antioch,Vespasian,<null>,Akko Remez,15.1,IAA,106212,,"Alexandria style, Kraay Mint C, RPC II Group 3, Eagle",0.005,0.55,22.58,0.008,0.0029,0.32,0.013,0.0239,0.0017,0.0000,0.0002,0.0002,76.44,0.051,77.36,,
w70,,,,Tyre,Hellenistic,<null>,<null>,<null>,Münzkabinett-Winterthur,G5245,,,0.005,0.17,0.90,0.001,0.0002,0.10,0.003,0.0040,0.0006,0.0000,0.0002,0.0049,98.82,0.002,99.09,,
AR8,tetradrachm,"Head r., laureate, [ΑΥΤΟΚΡΑ ΟΥЄCΠ]ΑCIANOC KAIC[AP CEBACTOC] ","Eagle facing, head l., wreath in beak, stg. on club (oblit.). In field l.: palm branch, ЄΤΟΥΣ ΝЄΟΥ ΙЄΡΟΥ B",Antioch,Vespasian,<null>,Akko Remez,14.75,IAA,106213,,"CRS series 1, Kraay Mint B, RPC II Group 4, Eagle",0.005,0.27,14.99,0.002,0.0016,0.12,0.007,0.0038,0.0005,0.0000,0.0001,0.0002,84.59,0.013,84.99,,
M65,Tetradrachm,"ΑΥΤΟΚΡΑΤWΡ.Μ.ΟΘWΝ.ΚΑΙCΑΡ.CεΒΑCΤΟC, laur. hd. r. ","ΕTOYC A, eagle with wreath in beak l., crescent between legs.",Antioch,Otho,<null>,<null>,<null>,Muona,,,CRS Group 2,0.013,0.35,32.14,0.005,0.0048,0.29,0.020,0.0073,0.0014,0.0001,0.0001,0.0002,67.86,0.011,68.52,,
w66,Tetradrachm,Aulus Gambinus,,Antioch,Posthumous Philip,<null>,<null>,<null>,Münzkabinett-Winterthur,G5069,,Aulus Gambinus,0.028,0.33,17.09,0.004,0.0131,0.70,0.003,0.0232,0.0013,0.0001,0.0001,0.0004,82.91,0.114,84.05,,
w56,,,Club,Caesarea,Nerva,<null>,<null>,<null>,Münzkabinett-Winterthur,G4821,,,0.170,0.20,50.72,0.013,0.0336,0.32,0.016,0.0072,0.0015,0.0001,0.0002,0.0269,49.28,0.001,49.79,,
w67,,Bare head right ,"Eagle standing left on laurel branch, palm before.",Antioch,Galba,<null>,<null>,<null>,Münzkabinett-Winterthur,G5125,,Group 3,0.014,0.36,28.72,0.003,0.0064,0.39,0.022,0.0034,0.0016,0.0002,0.0005,0.0002,71.28,0.004,72.03,,
KB1194,Didrachm,,,Caesarea,Claudius,<null>,<null>,<null>,Private,1194,,,0.010,0.40,28.68,0.013,0.0068,0.15,0.021,0.0064,0.0013,0.0002,0.0001,0.0002,71.32,0.032,71.90,,
w72,Tetradrachm,Yr 12,,Alexandria,Cleopatra,<null>,<null>,<null>,Münzkabinett-Winterthur,G5736,,,0.082,0.10,68.87,0.027,0.0483,0.89,0.032,0.0979,0.0019,0.0001,0.0001,0.0108,31.13,0.001,32.12,,
w69,Tetradrachm,,,Seleucia,Augustus,<null>,<null>,<null>,Münzkabinett-Winterthur,G5176,,,0.043,0.25,32.63,0.007,0.0216,0.93,0.022,1.0451,0.0051,0.0000,0.0001,0.0027,67.37,0.010,68.56,,
KB29,Tetradrachm,Laureate head right. ,"Eagle standing left on thunderbolt, palm before.",Antioch,Galba,<null>,<null>,<null>,Private,1997-275,,Group 1,0.023,0.29,32.64,0.002,0.0024,0.82,0.014,0.0157,0.0176,0.0000,0.0002,0.0002,67.36,0.001,68.47,,
KB984,Didrachm,,,Cyprus,Domitian,<null>,<null>,<null>,Private,984,,,0.018,0.20,15.21,0.009,0.0056,1.31,0.004,0.0087,0.0057,0.0001,0.0001,0.0002,84.79,0.079,86.38,,
w49,Didrachm,,,Antioch,Claudius,<null>,<null>,<null>,Münzkabinett-Winterthur,G2936,,In name of Nero Caesar,0.020,0.38,37.00,0.009,0.0041,0.66,0.006,0.1877,0.0021,0.0003,0.0001,0.0003,63.00,0.007,64.04,,
w85,,,Palm R A I,Numidia,Ptolemy,<null>,<null>,<null>,Münzkabinett-Winterthur,G6521,,,0.113,0.55,3.54,0.113,0.0040,0.25,0.096,0.0740,0.0357,0.0019,0.0024,0.0045,96.46,0.065,97.32,,
KB31,Drachm,,,Caesarea,Germanicus,<null>,<null>,<null>,Private,1318,,,0.006,0.36,26.43,0.004,0.0014,0.60,0.009,0.0108,0.0093,0.0001,0.0001,0.0002,73.57,0.001,74.53,,
A49,Didrachm,,Club,Caesarea,Nerva,<null>,<null>,6.67,Ashmolean Museum,,,,0.164,0.23,60.67,0.009,0.0451,0.22,0.011,0.0020,0.0002,0.0001,0.0001,0.0289,38.62,0.002,39.07,,
A41,Tetradrachm,,8 Temple,Cyprus,Vespasian,<null>,<null>,12.73,Ashmolean Museum,,,,0.010,0.62,17.92,0.008,0.0026,0.18,0.014,0.0003,0.0008,0.0001,0.0024,0.0645,81.17,0.002,81.97,,
A52,Didrachm,,Club,Caesarea,Nerva,<null>,<null>,6.98,Ashmolean Museum,,,,0.149,0.26,60.52,0.008,0.0416,0.28,0.012,0.0004,0.0002,0.0001,0.0022,0.0817,38.65,0.002,39.18,,
A50,Didrachm,,Clasped hands,Caesarea,Nerva,<null>,<null>,6.3,Ashmolean Museum,,,,0.205,0.14,54.91,0.012,0.0276,0.21,0.018,0.0026,0.0009,0.0001,0.0001,0.0215,44.44,0.002,44.80,,
A47,Didrachm,"ΑΥΤ ΚΑΙ ΔΟΜΙΤΙΑΝΟC CΕΒΑCTOC ΓΕΡΜ, laur. hd. r. ","ΕΤΟ - ΙΓ, Nike advancing r.",Caesarea,Domitian,<null>,<null>,6.72,Ashmolean Museum,,,,0.203,0.22,55.30,0.007,0.0241,0.22,0.015,0.0003,0.0005,0.0001,0.0001,0.0290,43.98,0.002,44.42,,
A40,Tetradrachm,,8 Zeus,Cyprus,Vespasian,<null>,<null>,13.17,Ashmolean Museum,,,,0.004,0.79,9.51,0.007,0.0008,0.30,0.005,0.0999,0.0014,0.0001,0.0001,0.0003,89.26,0.016,90.37,,
A42,Tetradrachm,,9 Zeus,Cyprus,Vespasian,<null>,<null>,12.72,Ashmolean Museum,,,,0.008,0.51,17.04,0.001,0.0007,0.70,0.006,0.0017,0.0022,0.0001,0.0001,0.0004,81.67,0.060,82.94,,
A44,Didrachm,,9 Zeus,Cyprus,Domitian,<null>,<null>,5.99,Ashmolean Museum,,,,0.021,0.28,16.02,0.005,0.0053,1.55,0.010,0.0117,0.0018,0.0001,0.0001,0.0008,82.01,0.097,83.93,,
A48,Didrachm,"ΑΥΤ ΚΑΙ ΔΟΜΙΤΙΑΝΟC CΕΒΑCTOC ΓΕΡΜ, laur. hd. r. ","ΔΟΜΙΤΙΑ CΕΒΑCTH, Domitia",Caesarea,Domitian,<null>,<null>,6.72,Ashmolean Museum,,-1,Walker: 59% AR.,0.166,0.01,54.10,0.007,0.0262,0.10,0.015,0.0021,0.0008,0.0001,0.0001,0.0151,45.47,0.094,45.67,,
A45,Didrachm,"ΑΥΤ ΚΑΙ ΔΟΜΙΤΙΑΝΟC CΕΒΑCTOC ΓΕΡΜ, laur. hd. r. ","ΕΤΟ - ΙΓ, Athena stg. L",Caesarea,Domitian,<null>,<null>,6.62,Ashmolean Museum,,-1,Walker: 52% AR.,0.171,0.01,52.14,0.011,0.0317,0.23,0.014,0.0020,0.0007,0.0001,0.0001,0.0223,47.37,0.002,47.60,,
A46,Didrachm,"ΑΥΤ ΚΑΙ ΔΟΜΙΤΙΑΝΟC CΕΒΑCTOC ΓΕΡΜ, laur. hd. r. ","ΕΤΟ - ΙΓ, Club",Caesarea,Domitian,<null>,<null>,6.87,Ashmolean Museum,,,,0.150,0.02,55.21,0.003,0.0242,0.31,0.014,0.0003,0.0003,0.0001,0.0001,0.0083,44.26,0.002,44.59,,
A51,Didrachm,,Tyche,Caesarea,Nerva,<null>,<null>,7.04,Ashmolean Museum,,,,0.196,0.30,56.82,0.010,0.0356,0.34,0.015,0.0011,0.0018,0.0001,0.0001,0.0267,42.25,0.002,42.89,,
A43,Tetradrachm,,9 Temple,Cyprus,Vespasian,<null>,<null>,12.52,Ashmolean Museum,,,,0.017,0.28,16.83,0.003,0.0051,1.33,0.011,0.0026,0.0007,0.0001,0.0001,0.0007,81.42,0.099,83.13,,
AL63,tetradrachm,,,Alexandria,Vespasian,<null>,<null>,<null>,The Manchester Museum,,,,0.034,0.12,80.55,0.006,0.0117,0.21,0.030,0.0068,0.0001,0.0001,0.0001,0.0008,19.45,0.001,19.77,,
AL53,tetradrachm,,Eirene,Alexandria,Otho,<null>,<null>,<null>,The Manchester Museum,,,,0.059,0.17,81.43,0.002,0.0177,0.12,0.024,0.0009,0.0007,0.0001,0.0001,0.0030,18.57,0.001,18.86,,
AL64,tetradrachm,,Eirene,Alexandria,Vespasian,<null>,<null>,<null>,The Manchester Museum,,,,0.064,0.14,80.02,0.012,0.0184,0.92,0.050,0.3030,0.0009,0.0001,0.0001,0.0103,18.38,0.001,19.45,,
AL50,tetradrachm,,Kratesis,Alexandria,Galba,<null>,<null>,<null>,The Manchester Museum,,,,0.068,0.17,81.14,0.006,0.0184,0.17,0.036,0.0024,0.0017,0.0001,0.0001,0.0065,18.86,0.001,19.21,,
AL49,tetradrachm,,Eirene,Alexandria,Galba,<null>,<null>,<null>,The Manchester Museum,,,,0.068,0.16,80.78,0.008,0.0190,0.19,0.031,0.0010,0.0018,0.0001,0.0001,0.0066,19.22,0.001,19.56,,
AL51,tetradrachm,,"Eleutheria, no symbol",Alexandria,Galba,<null>,<null>,<null>,The Manchester Museum,,,,0.076,0.17,81.77,0.004,0.0178,0.17,0.037,0.0012,0.0008,0.0001,0.0001,0.0043,18.23,0.001,18.57,,
AL69,tetradrachm,,Homonoia seated.,Alexandria,Titus,<null>,<null>,<null>,The Manchester Museum,,,,0.045,0.11,80.58,0.008,0.0115,0.09,0.050,0.0009,0.0001,0.0001,0.0001,0.0004,19.42,0.001,19.62,,
AL58,tetradrachm,,Alexandria,Alexandria,Vespasian,<null>,<null>,<null>,The Manchester Museum,,,,0.051,0.13,80.93,0.003,0.0169,0.10,0.031,0.0012,0.0001,0.0001,0.0001,0.0002,19.07,0.001,19.30,,
AL72,tetradrachm,,Canopus.,Alexandria,Domitian,<null>,<null>,<null>,The Manchester Museum,,,,0.066,0.13,80.65,0.004,0.0155,0.12,0.087,0.0010,0.0001,0.0001,0.0001,0.0014,19.35,0.001,19.60,,
AL75,tetradrachm,,Eirene standing,Alexandria,Nerva,<null>,<null>,<null>,The Manchester Museum,,,,0.036,0.13,81.44,0.000,0.0154,0.10,0.093,0.0012,0.0001,0.0001,0.0001,0.0002,18.56,0.001,18.79,,
AL56,tetradrachm,,Nike left.,Alexandria,Vitellius,<null>,<null>,<null>,The Manchester Museum,,,,0.069,0.08,80.46,0.039,0.0319,0.48,0.038,0.0819,0.0012,0.0001,0.0001,0.0049,18.54,0.001,19.10,,
AL74,tetradrachm,,Eagle,Alexandria,Nerva,<null>,<null>,<null>,The Manchester Museum,,,,0.030,0.11,79.09,0.004,0.0164,0.12,0.097,0.0011,0.0001,0.0001,0.0001,0.0008,20.91,0.001,21.14,,
AL65,tetradrachm,,Bust of Titus,Alexandria,Vespasian,<null>,<null>,<null>,The Manchester Museum,,,,0.046,0.13,80.61,0.007,0.0122,0.18,0.042,0.0009,0.0001,0.0001,0.0001,0.0001,19.39,0.001,19.71,,
AL67,tetradrachm,,Homonoia seated.,Alexandria,Titus,<null>,<null>,<null>,The Manchester Museum,,,,0.045,0.12,80.99,0.008,0.0101,0.10,0.064,0.0011,0.0001,0.0001,0.0001,0.0005,19.01,0.001,19.23,,
AL55,tetradrachm,,Nike left.,Alexandria,Vitellius,<null>,<null>,<null>,The Manchester Museum,,,,0.057,0.13,80.60,0.014,0.0181,0.16,0.057,0.0554,0.0002,0.0001,0.0001,0.0009,19.40,0.001,19.70,,
AL76,tetradrachm,,Agathadaimon serpent.,Alexandria,Nerva,<null>,<null>,<null>,The Manchester Museum,,,,0.033,0.12,81.27,0.007,0.0170,0.09,0.083,0.0011,0.0001,0.0001,0.0004,0.0005,18.73,0.001,18.95,,
AL70,tetradrachm,,Serapis,Alexandria,Titus,<null>,<null>,<null>,The Manchester Museum,,,,0.048,0.12,80.48,0.008,0.0100,0.12,0.066,0.0011,0.0001,0.0001,0.0001,0.0009,19.52,0.001,19.77,,
AL62,tetradrachm,,Eirene,Alexandria,Vespasian,<null>,<null>,<null>,The Manchester Museum,,,,0.053,0.16,81.08,0.004,0.0176,0.13,0.026,0.0011,0.0011,0.0001,0.0001,0.0047,18.92,0.001,19.22,,
AL66,tetradrachm,,Serapis,Alexandria,Titus,<null>,<null>,<null>,The Manchester Museum,,,,0.051,0.12,80.73,0.003,0.0135,0.09,0.057,0.0012,0.0001,0.0001,0.0001,0.0003,19.27,0.001,19.48,,
AL61,tetradrachm,,Nike left,Alexandria,Vespasian,<null>,<null>,<null>,The Manchester Museum,,,,0.042,0.13,81.80,0.018,0.0083,0.10,0.039,0.0072,0.0002,0.0001,0.0001,0.0007,18.20,0.001,18.44,,
AL54,tetradrachm,,Alexandria,Alexandria,Otho,<null>,<null>,<null>,The Manchester Museum,,,,0.063,0.20,80.29,0.007,0.0122,0.14,0.056,0.0011,0.0001,0.0001,0.0001,0.0004,19.71,0.001,20.05,,
AL60,tetradrachm,,Eirene,Alexandria,Vespasian,<null>,<null>,<null>,The Manchester Museum,,,,0.038,0.07,79.64,0.005,0.0101,0.10,0.052,0.0018,0.0002,0.0000,0.0001,0.0002,20.36,0.001,20.53,,
AL73,tetradrachm,,Serapis seated.,Alexandria,Domitian,<null>,<null>,<null>,The Manchester Museum,,,,0.051,0.18,70.50,0.005,0.0094,0.12,0.085,0.0012,0.0001,0.0001,0.0001,0.0008,29.50,0.001,29.80,,
AL59,tetradrachm,,,Alexandria,Vespasian,<null>,<null>,<null>,The Manchester Museum,,,,0.057,0.16,80.92,0.007,0.0174,0.15,0.032,0.0171,0.0017,0.0001,0.0001,0.0064,19.08,0.001,19.39,,
AL68,tetradrachm,,Nilus,Alexandria,Titus,<null>,<null>,<null>,The Manchester Museum,,,,0.062,0.05,93.08,0.318,0.0143,0.44,0.078,0.4194,0.0081,0.0001,0.0001,0.0021,6.02,0.001,6.51,,
AL57,tetradrachm,,Alexandria,Alexandria,Vespasian,<null>,<null>,<null>,The Manchester Museum,,,,0.047,0.13,80.41,0.014,0.0180,0.12,0.037,0.0013,0.0001,0.0001,0.0001,0.0002,19.59,0.001,19.84,,
AL71,tetradrachm,,Nilus bust.,Alexandria,Domitian,<null>,<null>,<null>,The Manchester Museum,,,,0.046,0.09,79.82,0.009,0.0099,0.15,0.111,0.0033,0.0001,0.0001,0.0001,0.0004,20.18,0.001,20.42,,
AL52,tetradrachm,,"Eleutheria, simpulum",Alexandria,Galba,<null>,<null>,<null>,The Manchester Museum,,,,0.068,0.12,81.26,0.016,0.0138,0.13,0.079,0.0141,0.0001,0.0001,0.0001,0.0004,18.74,0.001,19.00,,
CE2,Didrachm,,Nike stg. r.,Caesarea,Vespasian,<null>,<null>,<null>,The British Museum,1920 2-22-1,,Analysed in 1995,,0.31,49.68,0.010,0.0300,0.19,0.060,0.2300,0.0100,,,0.0100,47.31,0.050,,,
CE3,Didrachm,,,Caesarea,Vespasian,<null>,<null>,<null>,The British Museum,1931 6-1-43,,,,0.28,49.96,0.010,0.0300,0.21,0.140,0.2700,0.0100,,,0.0100,46.75,0.040,,,
E6,Tetradrachm,AYTO.KAI.ΘΕ.ΥΙ.ΔΟΜΙΤΙΑΝΟΣ.ΣΕ.ΓΕΡ. Laur. hd. r. ,"ΜΗΤΡΟΠΟΛΕΩΣ, Tyche std. r. TAP in field.",Tarsus,Domitian,<null>,<null>,<null>,bought,,,"92.5% for this series; Walker, Metrology I, 130.",0.016,0.53,37.80,0.064,0.0050,0.17,0.026,0.0190,0.0001,0.0001,0.0001,0.0005,61.30,0.001,62.00,,
w7,drachm,,,Caesarea,Caligula,<null>,<null>,<null>,Münzkabinett-Winterthur,R333,,,0.003,0.51,27.93,0.004,0.0020,0.26,0.012,0.0023,0.0001,0.0001,0.0001,0.0002,71.27,0.001,72.04,,
KB40,tetradrachm,Bust of Vespasian left,"Bust of Titus right, star behind B",Antioch,Vespasian,<null>,<null>,<null>,private,,,"Alexandria style, Kraay mint A, RPC Group 2, 1942, Titus",0.020,0.54,34.00,0.010,0.0030,0.52,0.020,0.0100,0.0000,0.0000,0.0000,0.0000,64.94,0.010,66.00,,
KB41,tetradrachm,,Eagle on club B,Antioch,Vespasian,<null>,<null>,<null>,private,,,"Alexandria style, Kraay mint C, RPC Group 3, 1945, Eagle",0.020,0.48,32.10,0.007,0.0000,0.35,0.020,0.1400,0.0000,0.0000,0.0000,0.0000,67.42,0.010,68.26,,
