REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,HOARD,WEIGHT,DONOR,DONORREF,WALKER,COMMENTS,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,SILVER,BISMUTH,BULLION,,
KB42,tetradrachm,,Eagle left on club D,Antioch,Vespasian,<null>,<null>,<null>,private,,,"Alexandria style, Kraay mint C, RPC Group 3, 1950, Eagle",0.020,0.49,32.60,0.008,0.0010,0.19,0.020,0.0100,0.0000,0.0000,0.0000,0.0000,65.53,0.020,66.23,,
KB43,tetradrachm,,Eagle left on club D,Antioch,Vespasian,<null>,<null>,<null>,private,,,"Alexandria style, Kraay mint C, RPC Group 3, 1950, Eagle",0.030,0.51,31.80,0.002,0.0010,0.21,0.030,0.0100,0.0000,0.0000,0.0000,0.0000,67.46,0.010,68.18,,
AL1,Tetradrachm,"ΤΙ.ΚΛΑΥΔΙ.ΚΑΙΣ.ΣΕΒΑ.ΓΕΡΜΑΝΙ.ΑΥΤΟΚΡ, laur. hd., r. LB in field ","ΑΝΤΩΝΙΑ.ΣΕΒΑΣΤΗ, bust of Antonia, r. year 2.",Alexandria,Claudius,<null>,<null>,<null>,The Manchester Museum,,,,0.023,0.17,77.13,0.001,0.0043,0.23,0.016,0.0093,0.0002,0.0002,0.0002,0.0002,22.42,0.000,22.81,,
AL2,Tetradrachm,"ΤΙ.ΚΛΑΥΔΙ.ΚΑΙΣ.ΣΕΒΑ.ΓΕΡΜΑΝΙ.ΑΥΤΟΚΡ, laur. hd., r. LB in field ","ΑΝΤΩΝΙΑ.ΣΕΒΑΣΤΗ, bust of Antonia, r. year 2.",Alexandria,Claudius,<null>,<null>,<null>,The Manchester Museum,,,RPC5117,0.011,0.15,76.05,0.001,0.0048,0.31,0.007,0.0021,0.0002,0.0002,0.0002,0.0002,23.46,0.001,23.92,,
AL3,Tetradrachm,"ΤΙ.ΚΛΑΥΔΙ.ΚΑΙΣ.ΣΕΒΑ.ΓΕΡΜΑΝΙ.ΑΥΤΟΚΡ, laur. hd., r. LB in field ","ΑΝΤΩΝΙΑ.ΣΕΒΑΣΤΗ, bust of Antonia, r. year 2.",Alexandria,Claudius,<null>,<null>,<null>,The Manchester Museum,,,,0.019,0.16,77.65,0.000,0.0046,0.37,0.005,0.0000,0.0002,0.0002,0.0002,0.0002,21.79,0.004,22.32,,
AL4,Tetradrachm,"ΤΙ.ΚΛΑΥΔΙ.ΚΑΙΣ.ΣΕΒΑ.ΓΕΡΜΑΝΙ.ΑΥΤΟΚΡ, laur. hd., r. LΓ in field ","ΜΕΣΣΑΛΙΝΑ.ΚΑΙΣ.ΣΕΒΑΣ, Messalina. year 3.",Alexandria,Claudius,<null>,<null>,<null>,The Manchester Museum,,,,0.032,0.22,76.16,0.001,0.0057,0.09,0.029,0.0027,0.0047,0.0002,0.0002,0.0002,23.43,0.024,23.76,,
AL5,Tetradrachm,"ΤΙ.ΚΛΑΥΔΙ.ΚΑΙΣ.ΣΕΒΑ.ΓΕΡΜΑΝΙ.ΑΥΤΟΚΡ, laur. hd., r. LΔ in field ","ΜΕΣΣΑΛΙΝΑ.ΚΑΙΣ.ΣΕΒΑΣ, Messalina. year 4.",Alexandria,Claudius,<null>,<null>,<null>,The Manchester Museum,,,,0.015,0.17,74.87,0.001,0.0050,0.32,0.023,0.0006,0.0003,0.0003,0.0003,0.0003,24.59,0.005,25.09,,
AL6,Tetradrachm,"ΤΙ.ΚΛΑΥΔΙ.ΚΑΙΣ.ΣΕΒΑ.ΓΕΡΜΑΝΙ.ΑΥΤΟΚΡ, laur. hd., r. LE in field ","ΜΕΣΣΑΛΙΝΑ.ΚΑΙΣ.ΣΕΒΑΣ, Messalina (lituus). year 5.",Alexandria,Claudius,<null>,<null>,<null>,The Manchester Museum,,,,0.046,0.16,78.52,0.000,0.0140,0.15,0.023,0.0007,0.0004,0.0003,0.0003,0.0004,21.08,0.000,21.39,,
AL7,Tetradrachm,,serpent,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,Second phase of year 4,0.030,0.12,83.94,0.000,0.0118,0.18,0.021,0.0006,0.0003,0.0003,0.0003,0.0003,15.70,0.000,16.00,,
AL8,Tetradrachm,,eagle,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.081,0.08,82.54,0.000,0.0276,0.38,0.033,0.0006,0.0003,0.0003,0.0003,0.0010,16.85,0.000,17.31,,
AL9,Tetradrachm,,Roma,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,First phase of year 5,0.037,0.15,80.03,0.001,0.0101,0.14,0.010,0.0005,0.0003,0.0003,0.0003,0.0003,19.62,0.001,19.91,,
AL10,Tetradrachm,"ΝΕΡΩ.ΚΛΑΥ.ΖΑΙΣ.ΣΕΒ.ΓΕΡ., radiate hd. r. ","ΑΥΤΟΚΡΑ, eagle, l. LIB in field. Year 12.",Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.051,0.15,85.21,0.003,0.0123,0.09,0.078,0.0007,0.0003,0.0003,0.0003,0.0004,14.40,0.000,14.64,,
AL11,Tetradrachm,"ΝΕΡΩ.ΚΛΑΥ.ΖΑΙΣ.ΣΕΒ.ΓΕΡ., radiate hd. r. ","ΑΥΤΟΚΡΑ, eagle, l. LIB in field. Year 12.",Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.080,0.12,83.99,0.005,0.0135,0.10,0.088,0.0006,0.0003,0.0003,0.0003,0.0003,15.60,0.000,15.83,,
AL12,Tetradrachm,"ΝΕΡ.ΚΛΑΥ.ΖΑΙΣ.ΣΕΒ.ΓΕΡ,ΑΥΤΟ., laur. hd. r. ","ΑΓΡΙΠΠΙΝΑ.ΣΕΒΑΣΤΗ, Agrippina LΓ in field. Year 3.",Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.028,0.15,79.45,0.000,0.0076,0.13,0.014,0.0005,0.0003,0.0003,0.0003,0.0003,20.22,0.001,20.50,,
AL13,Tetradrachm,"ΝΕΡΩ.ΚΛΑΥ.ΖΑΙΣ.ΣΕΒ.ΓΕΡ., radiate hd. r. ","ΑΥΤΟΚΡΑ, bust of Serapis, r. LIA in field. Year 11.",Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.083,0.09,80.83,0.002,0.0270,0.42,0.046,0.0006,0.0003,0.0003,0.0003,0.0016,18.50,0.000,19.01,,
AL14,Tetradrachm,"ΝΕΡW.ΚΛΑΥ.ΖΑΙΣ.ΣΕΒ.ΓΕΡ.ΑΥΤΟ., laur. hd. r. ","ΔΗΜΟΣ.ΡΟΜΑΙΩΝ, demos stg. r.,  LΔ in field. Year 4.",Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.040,0.17,77.91,0.000,0.0077,0.27,0.032,0.0006,0.0003,0.0003,0.0003,0.0003,21.56,0.008,22.01,,
AL15,Tetradrachm,"ΝΕΡΩ.ΚΛΑΥ.ΚΑΙΣ.ΣΕΒ.ΓΕΡ,ΑΥ., radiate. hd. l. ","ΤΙΒΕΡΙΟΣ.ΚΑΙΣΑΡ, LΙΓ in field. Year 13.",Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.062,0.16,84.87,0.005,0.0142,0.12,0.018,0.0006,0.0003,0.0003,0.0003,0.0019,14.72,0.014,15.02,,
AL16,Tetradrachm,"ΝΕΡΩ.ΚΛΑΥ.ΚΑΙΣ.ΣΕΒ.ΓΕΡ.ΑΥ., radiate. hd. l. ","ΑΥΤΟΚΡΑ, bust of Apollo, r. LΙΓ, in field. Year 13.",Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.075,0.08,83.42,0.015,0.0278,0.51,0.063,0.0711,0.0016,0.0003,0.0003,0.0056,15.73,0.000,16.32,,
AL17,Tetradrachm,"ΝΕΡΩ.ΚΛΑΥ.ΚΑΙΣ.ΣΕΒ.ΓΕΡ.ΑΥ., radiate. hd. l. ","ΑΥΤΟΚΡΑ, bust of Alexandria, r. LIB in field. Year 12.",Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.109,0.08,81.47,0.011,0.0274,0.46,0.056,0.0649,0.0019,0.0002,0.0002,0.0043,17.72,0.000,18.26,,
AL18,Tetradrachm,"ΝΕΡΩ.ΚΛΑΥ.ΚΑΙΣ.ΣΕΒΑ.ΓΕΡ.ΑΥΤΟ., laur. hd. l. ","ΔΙΚΑΙΟΣΥΝΗ, Dikaiosyne, l. LE in field, year 5.",Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,First phase of year 5,0.037,0.15,81.88,0.001,0.0114,0.12,0.011,0.0005,0.0003,0.0003,0.0003,0.0003,17.79,0.002,18.06,,
AL19,Tetradrachm,,Octavia,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,First phase of year 4,0.082,0.14,79.34,0.001,0.0076,0.24,0.027,0.0006,0.0003,0.0003,0.0003,0.0003,20.15,0.007,20.55,,
AL20,Tetradrachm,,Demeter,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.038,0.16,81.06,0.001,0.0058,0.15,0.020,0.0006,0.0003,0.0003,0.0003,0.0003,18.57,0.000,18.88,,
AL21,Tetradrachm,,serpent,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.048,0.19,78.19,0.001,0.0080,0.22,0.015,0.0006,0.0003,0.0003,0.0003,0.0003,21.32,0.005,21.74,,
AL22,Tetradrachm,,Octavia,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.053,0.15,80.76,0.003,0.0081,0.14,0.022,0.0005,0.0003,0.0003,0.0003,0.0003,18.86,0.000,19.15,,
AL23,Tetradrachm,,Eirene,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,First phase of year 5,0.043,0.16,81.28,0.003,0.0115,0.13,0.014,0.0006,0.0003,0.0003,0.0003,0.0003,18.36,0.002,18.65,,
AL24,Tetradrachm,,Demeter,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,First phase of year 5,0.059,0.14,83.44,0.000,0.0135,0.21,0.015,0.0006,0.0003,0.0003,0.0003,0.0003,16.12,0.000,16.47,,
AL25,Tetradrachm,,Eirene,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,Second phase of year 5,0.105,0.13,83.42,0.002,0.0100,0.16,0.054,0.0006,0.0003,0.0003,0.0003,0.0003,16.12,0.000,16.40,,
AL26,Tetradrachm,"ΤΙ.ΚΛΑΥΔΙ.ΚΑΙΣ.ΣΕΒΑ.ΓΕΡΜΑΝΙ.ΑΥΤΟΚΡ, laur. hd., r. Lς in field ","ΜΕΣΣΑΛΙΝΑ.ΚΑΙΣ.ΣΕΒΑΣ, , Messalina. year 6.",Alexandria,Claudius,<null>,<null>,<null>,The Manchester Museum,,,,0.066,0.12,79.64,0.003,0.0302,0.42,0.073,0.0486,0.0010,0.0003,0.0003,0.0038,19.60,0.000,20.14,,
AL27,Tetradrachm,,Demos,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.054,0.14,83.41,0.000,0.0094,0.17,0.021,0.0005,0.0002,0.0002,0.0002,0.0003,16.20,0.000,16.50,,
AL28,Tetradrachm,,Poppaea,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.069,0.08,85.79,0.007,0.0310,0.36,0.036,0.0051,0.0016,0.0004,0.0004,0.0029,13.62,0.000,14.06,,
AL29,Tetradrachm,,Poseidon,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.083,0.08,84.19,0.033,0.0262,0.38,0.015,0.0005,0.0008,0.0003,0.0003,0.0013,15.20,0.000,15.65,,
AL30,Tetradrachm,,Apollo,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.069,0.11,82.66,0.003,0.0138,0.12,0.079,0.0005,0.0002,0.0002,0.0002,0.0003,16.94,0.000,17.17,,
AL31,Tetradrachm,,Apollo,Alexandria,Nero,<null>,<null>,<null>,The Manchester Museum,,,,0.061,0.16,84.57,0.002,0.0151,0.13,0.020,0.0006,0.0003,0.0003,0.0003,0.0012,15.03,0.015,15.33,,
AL33,Tetradrachm,,Apollo and star.,Alexandria,Nero,<null>,<null>,<null>,Liverpool University Museum,1350,,,0.087,0.12,82.43,0.000,0.0125,0.14,0.046,0.0005,0.0003,0.0003,0.0003,0.0003,17.16,0.000,17.42,,
AL34,Tetradrachm,,eagle,Alexandria,Nerva,<null>,<null>,<null>,Liverpool University Museum,1357,,,0.031,0.13,83.92,0.002,0.0152,0.10,0.096,0.0006,0.0003,0.0003,0.0005,0.0102,15.69,0.000,15.92,,
AL35,Tetradrachm,"ΤΙ.ΚΛΑΥΔΙ.ΚΑΙΣ.ΣΕΒΑ.ΓΕΡΜΑΝΙ.ΑΥΤΟΚΡ, laur. hd., r. LΓ in field ","ΜΕΣΣΑΛΙΝΑ.ΚΑΙΣ.ΣΕΒΑΣ, , Messalina. year 3.",Alexandria,Claudius,<null>,<null>,<null>,Liverpool University Museum,1,,,0.015,0.02,78.03,0.000,0.0059,0.17,0.013,0.0006,0.0003,0.0003,0.0003,0.0017,21.75,0.000,21.93,,
AL36,Tetradrachm,,Alexandria,Alexandria,Vespasian,<null>,<null>,<null>,Liverpool University Museum,1354,,,0.036,0.12,83.91,0.001,0.0118,0.10,0.037,0.0005,0.0003,0.0002,0.0002,0.0003,15.78,0.000,16.00,,
AL37,Tetradrachm,,Nero seated left.,Alexandria,Nero,<null>,<null>,<null>,Liverpool University Museum,1340,,,0.050,0.15,81.94,0.000,0.0068,0.13,0.021,0.0006,0.0003,0.0003,0.0003,0.0003,17.70,0.000,17.98,,
AL38,Tetradrachm,"ΤΙ.ΚΛΑΥΔΙ.ΚΑΙΣ.ΣΕΒΑ.ΓΕΡΜΑΝΙ.ΑΥΤΟΚΡ, laur. hd., r. Lς in field ","ΜΕΣΣΑΛΙΝΑ.ΚΑΙΣ.ΣΕΒΑΣ, , Messalina. year 6.",Alexandria,Claudius,<null>,<null>,<null>,Liverpool University Museum,2,,,0.051,0.08,78.64,0.001,0.0215,0.32,0.060,0.0005,0.0003,0.0003,0.0003,0.0009,20.83,0.000,21.23,,
AL39,Tetradrachm,,Tiberius,Alexandria,Nero,<null>,<null>,<null>,Liverpool University Museum,1349,,,0.054,0.16,84.82,0.002,0.0140,0.14,0.038,0.0005,0.0007,0.0003,0.0003,0.0021,14.75,0.010,15.07,,
AL40,Tetradrachm,,eagle,Alexandria,Nero,<null>,<null>,<null>,Liverpool University Museum,1344,,,0.060,0.14,85.27,0.001,0.0117,0.17,0.128,0.0006,0.0003,0.0003,0.0003,0.0003,14.21,0.000,14.53,,
AL41,Tetradrachm,,Nike left.,Alexandria,Vespasian,<null>,<null>,<null>,Liverpool University Museum,1353,,,0.042,0.14,80.18,0.150,0.0119,0.17,0.061,0.0005,0.0060,0.0013,0.0015,0.0003,19.23,0.000,19.54,,
AL42,Tetradrachm,,"Eleutheria, star",Alexandria,Galba,<null>,<null>,<null>,Liverpool University Museum,1351,,,0.046,0.12,80.98,0.001,0.0120,0.12,0.036,0.0005,0.0003,0.0002,0.0002,0.0010,18.68,0.000,18.92,,
AL43,Tetradrachm,,Eirene,Alexandria,Vespasian,<null>,<null>,<null>,Liverpool University Museum,1352,,,0.040,0.12,82.24,0.003,0.0117,0.12,0.060,0.0005,0.0003,0.0003,0.0003,0.0003,17.41,0.000,17.64,,
AL45,Tetradrachm,,Alexandria,Alexandria,Nero,<null>,<null>,<null>,Liverpool University Museum,1345,,,0.075,0.08,80.50,0.001,0.0258,0.39,0.027,0.0004,0.0002,0.0002,0.0029,0.0789,18.83,0.000,19.29,,
AL47,Tetradrachm,,Alexandria,Alexandria,Nero,<null>,<null>,<null>,Liverpool University Museum,1346,,,0.087,0.08,82.14,0.003,0.0272,0.53,0.062,0.0076,0.0010,0.0002,0.0002,0.0030,17.07,0.000,17.67,,
AL48,Tetradrachm,,Augustus,Alexandria,Nero,<null>,<null>,<null>,Liverpool University Museum,1334,,,0.079,0.16,84.80,0.001,0.0167,0.15,0.023,0.0006,0.0003,0.0003,0.0003,0.0024,14.76,0.008,15.08,,
Y32,tetradrachm,,Eagle left on club A,Antioch,Vespasian,<null>,<null>,<null>,Yale University,2001.87.5077,,"CRS series 1, Kraay Mint B, RPC II Group 4, Eagle",0.013,0.50,29.73,0.016,0.0044,0.28,0.017,0.0357,0.0007,0.0001,0.0001,0.0001,69.38,0.020,70.18,,
Y87,tetradrachm,,Zeus,Cyprus,Vespasian,<null>,<null>,<null>,Yale University,2001.87.5694,,,0.007,0.70,6.75,0.007,0.0005,0.50,0.013,0.0015,0.0006,0.0001,0.0001,0.0001,92.01,0.010,93.22,,
Y31,tetradrachm,,,Judaea,Vespasian,<null>,<null>,<null>,Yale University,1938.6000.827,,"CRS Southern mint, RPC II Group 6 (Dura hoard)",0.026,0.34,47.97,0.005,0.0074,0.56,0.033,0.0014,0.0001,0.0000,0.0001,0.0003,51.05,0.001,51.95,,
Y35,tetradrachm,"ΑΥΤΟΚΡΑΤWΡ.ΜAPKOC.ΟΘWΝ.ΚΑΙCΑΡ.CεΒΑCΤΟC, laur. hd. r. ","ΕTOYC A, eagle with wreath in beak l.",Antioch,Otho,<null>,<null>,<null>,Yale University,2001.87.5078,,CRS Group 1,0.009,0.51,28.80,0.001,0.0033,0.26,0.015,0.0051,0.0001,0.0000,0.0001,0.0001,70.36,0.025,71.16,,
Y10,tetradrachm,,Eagle left on club A,Antioch,Vespasian,<null>,<null>,<null>,Yale University,2004.6.3588,,"CRS series 2, RPC II Group 7, Eagle",0.019,0.27,32.04,0.008,0.0033,0.22,0.022,0.0277,0.0007,0.0000,0.0001,0.0001,67.40,0.001,67.88,,
Y20,tetradrachm,"NERO CLAVD DIVI CLAVD F CAESAR AVG GER, laur. hd., r. ","DIVOS CLAVD AVG GERMANIC PATER AVG, laur. hd. of Claudius, r.",Syria,Nero,<null>,<null>,<null>,Yale University,2001.87.4521,,,0.037,0.36,55.75,0.002,0.0060,0.16,0.033,0.0016,0.0001,0.0000,0.0001,0.0001,43.63,0.009,44.17,,
Y11,tetradrachm,,,Antioch,Domitian,<null>,<null>,<null>,Yale University,2001.87.4538,,Year 7,0.013,0.50,31.94,0.004,0.0032,0.09,0.025,0.0016,0.0001,0.0000,0.0001,0.0001,67.43,0.001,68.01,,
Y21,tetradrachm,"Laureate head right, star before. ","Eagle standing left on thunderbolt, palm before.",Antioch,Galba,<null>,<null>,<null>,Yale University,2004.6.3587,,"Group 2, year 1 or 2",0.011,0.52,27.62,0.001,0.0029,0.25,0.015,0.0016,0.0001,0.0001,0.0001,0.0001,71.54,0.034,72.35,,
Y55,cistophorus,IMP NERVA CAES AVG P M TR POT P P ,COS III. Standards,Asia,Nerva,<null>,<null>,<null>,Yale University,2001.87.5080,,Rome style.,0.118,0.18,24.87,0.002,0.0094,0.44,0.008,0.0016,0.0003,0.0000,0.0001,0.0030,74.32,0.052,74.99,,
Y28,tetradrachm,"NERO CLAVD DIVI CLAVD F CAESAR AVG GER, laur. hd., r.","DIVOS CLAVD AVG GERMANIC PATER AVG, laur. hd. of Claudius, r.",Syria,Nero,<null>,<null>,<null>,Yale University,2004.6.3582,,,0.036,0.34,54.17,0.002,0.0078,0.22,0.030,0.0016,0.0001,0.0000,0.0001,0.0001,45.18,0.014,45.76,,
Y54,cistophorus,,Venus,Asia,Domitia,<null>,<null>,<null>,Yale University,2001.87.5081,,Rome style.,0.049,0.61,20.46,0.049,0.0065,0.29,0.001,0.0016,0.0001,0.0001,0.0001,0.0111,78.52,0.001,79.42,,
Y27,tetradrachm,,,Antioch,Nero,<null>,<null>,<null>,Yale University,2001.87.4525,,,0.044,0.23,48.74,0.016,0.0097,0.71,0.028,0.0604,0.0005,0.0000,0.0001,0.0018,50.14,0.021,51.10,,
Y36,tetradrachm,,Eagle left on club. Date off flan,Antioch,Vespasian,<null>,<null>,<null>,Yale University,2001.87.5074,,"CRS series 2, RPC II Group 7, Eagle",0.021,0.44,32.36,0.006,0.0031,0.30,0.012,0.0016,0.0001,0.0002,0.0006,0.0003,66.82,0.027,67.59,,
Y69,didrachm,,,Caesarea,Nero + Divus Claudius,<null>,<null>,<null>,Yale University,2001.87.5094,,"Later group, legends ending GERMA.",0.007,0.55,26.41,0.001,0.0042,0.20,0.011,0.0017,0.0001,0.0000,0.0001,0.0003,72.82,0.001,73.57,,
Y22,tetradrachm,,Eagle left on club Year 4,Antioch,Vespasian,<null>,<null>,<null>,Yale University,2001.87.4536,,"Alexandria style, Kraay Mint C, RPC II Group 3, Eagle",0.033,0.52,32.69,0.002,0.0039,0.24,0.024,0.0016,0.0001,0.0001,0.0001,0.0001,66.48,0.001,67.24,,
Y29,didrachm,,,Antioch,Claudius,<null>,<null>,<null>,Yale University,2001.87.4526,,In name of Nero Caesar,0.011,1.00,36.50,0.014,0.0042,0.33,0.011,0.0548,0.0001,0.0000,0.0001,0.0001,62.04,0.031,63.40,,
w88,Cistophorus,,Altar AVGVSTVS,,Augustus,<null>,<null>,<null>,Münzkabinett-Winterthur,R143,,,0.015,0.45,15.97,0.002,0.0106,0.36,0.009,0.0060,0.0001,0.0001,0.0002,0.0001,83.16,0.011,83.99,,
w13,Cistophorus,,DIAN EPHE,Pergamon/Ephesus?,Claudius,<null>,<null>,<null>,Münzkabinett-Winterthur,R365,,,0.005,0.50,20.60,0.009,0.0049,0.63,0.005,0.0243,0.0006,0.0001,0.0000,0.0003,78.16,0.058,79.35,,
w14,Cistophorus,,ROM ET AVG,Pergamon/Ephesus?,Claudius,<null>,<null>,<null>,Münzkabinett-Winterthur,R364,,,0.011,0.51,21.18,0.011,0.0062,0.65,0.009,0.0350,0.0009,0.0001,0.0001,0.0004,77.52,0.053,78.74,,
w15,Cistophorus,,DIANA EPHESIA,Pergamon/Ephesus?,Claudius/Agrippina,<null>,<null>,<null>,Münzkabinett-Winterthur,R82,,,0.002,0.50,19.29,0.009,0.0024,0.48,0.004,0.0181,0.0018,0.0003,0.0003,0.0004,79.63,0.071,80.67,,
Y62,drachm,,,Caesarea,Nero + Divus Claudius,<null>,<null>,<null>,Yale University,2001.87.5690,,"Later group, legends ending GERMA.",0.025,0.35,43.75,0.002,0.0113,0.60,0.041,0.0650,0.0001,0.0000,0.0001,0.0003,55.13,0.033,56.11,,
Y76,didrachm,"ΑΥΤ ΚΑΙ ΔΟΜΙΤΙΑΝΟC CΕΒΑCTOC ΓΕΡΜ, laur. hd. r.","ΕΤΟ - ΙΓ, Athena stg l.",Caesarea,Domitian,<null>,<null>,<null>,Yale University,2001.87.5091,,,0.175,0.01,49.13,0.016,0.0233,0.31,0.015,0.0016,0.0001,0.0000,0.0001,0.0268,50.29,0.001,50.61,,
A112,Cistophorus,COS VIII ,CAPIT RESTIT,Ephesus,Domitian,<null>,<null>,10.66,Ashmolean Museum,,,Rome style.,0.018,0.55,21.48,0.035,0.0037,0.41,0.014,0.0063,0.0014,0.0003,0.0000,0.0045,77.47,0.004,78.43,,
A140,Tetradrachm,AYTO.KAI.ΘΕ.ΥΙ.ΔΟΜΙΤΙΑΝΟΣ.ΣΕ.ΓΕΡ. Laur. hd. r. ,"ΜΗΤΡΟΠΟΛΕΩΣ, Tyche std. r. TAP in field.",Tarsus,Domitian,<null>,<null>,14.13,Ashmolean Museum,,,"92.5% for this series; Walker, Metrology I, 130.",0.024,0.49,38.36,0.001,0.0039,0.16,0.024,0.0008,0.0001,0.0000,0.0000,0.0003,60.94,0.000,61.58,,
A117,Cistophorus,IMP NERVA CAES AVG P M TR POT P P ,COS III. Diana of Perge.,Asia,Nerva,<null>,<null>,8.72,Ashmolean Museum,,-1,Rome style. Walker: 93% AR.,0.035,0.23,10.61,0.001,0.0024,0.37,0.005,0.0010,0.0010,0.0002,0.0001,0.0021,88.70,0.042,89.35,,
A116,Cistophorus,,,Ephesus,Domitian,<null>,<null>,9.67,Ashmolean Museum,,,Rome style,0.003,0.02,21.20,0.003,0.0059,0.52,0.002,0.0008,0.0001,0.0000,0.0001,0.0001,78.21,0.045,78.79,,
A115,Cistophorus,,Vesta,Asia,Domitia,<null>,<null>,10.54,Ashmolean Museum,,-1,Rome style. Walker: 89% AR.,0.043,0.09,21.29,0.042,0.0072,0.37,0.004,0.0016,0.0004,0.0002,0.0001,0.0126,77.96,0.172,78.60,,
