REF,DENOMINATION,OBVERSE,REVERSE,MINT,EMPEROR,NAMED,HOARD,WEIGHT,DONOR,DONORREF,WALKER,COMMENTS,ARSENIC,GOLD,COPPER,IRON,NICKEL,LEAD,ANTIMONY,TIN,ZINC,MANGANESE,CHROMIUM,COBALT,SILVER,BISMUTH,BULLION,,
A122,Didrachm?,,Homonoia,Caesarea,Domitian,<null>,<null>,3.75,Ashmolean Museum,,,,0.025,0.34,49.91,0.001,0.0083,0.15,0.057,0.0008,0.0001,0.0000,0.0001,0.0001,49.51,0.000,50.00,,
A147,Drachm,,Lyre + branch,Lycia,Domitian,<null>,<null>,3.28,Ashmolean Museum,,-1,Rome style. Walker: 89% AR.,0.003,0.02,20.31,0.005,0.0028,0.41,0.001,0.0007,0.0001,0.0000,0.0000,0.0001,79.16,0.093,79.68,,
A113,Cistophorus,,Standards,Asia,Domitian,<null>,<null>,9.98,Ashmolean Museum,,-1,Rome style. Walker: 84% AR.,0.046,0.56,20.81,0.046,0.0084,0.62,0.007,0.0007,0.0001,0.0002,0.0000,0.0103,77.90,0.000,79.08,,
A118,Cistophorus,IMP NERVA CAES AVG P M TR POT P P ,COS III. Standards.,Asia,Nerva,<null>,<null>,9.9,Ashmolean Museum,,-1,Rome style. Walker: 88% AR.,0.071,0.54,20.84,0.001,0.0075,0.47,0.006,0.0014,0.0001,0.0000,0.0000,0.0055,78.05,0.003,79.06,,
A164,Tetradrachm,"ΑΥΤΟΚΡΑΤWΡ.Μ.ΟΘWΝ.ΚΑΙCΑΡ.CεΒΑCΤΟC, laur. hd. r.  ","ΕTOYC A, eagle with wreath in beak l., crescent between legs.",Antioch,Otho,<null>,<null>,14.4,Ashmolean Museum,,,CRS Group 2,0.015,0.46,27.18,0.001,0.0043,0.31,0.017,0.0057,0.0004,0.0000,0.0001,0.0001,71.99,0.015,72.78,,
A180,Tetradrachm,,,Antioch,Nerva,<null>,<null>,15,Ashmolean Museum,,,,0.016,0.61,21.27,0.001,0.0029,0.11,0.021,0.0008,0.0001,0.0000,0.0000,0.0001,77.96,0.000,78.69,,
A167,Tetradrachm,,Eagle right on thunderbolt B,Antioch,Vespasian,<null>,<null>,13.94,Ashmolean Museum,,,"Alexandria style, Kraay Mint A, RPC II Group 1, Eagle on thunderbolt",0.024,0.56,32.15,0.002,0.0081,0.17,0.027,0.0007,0.0001,0.0000,0.0000,0.0001,67.05,0.000,67.78,,
A177,Tetradrachm,,,Antioch,Domitian,<null>,<null>,14.74,Ashmolean Museum,,,,0.015,0.02,32.11,0.013,0.0041,0.09,0.030,0.0007,0.0001,0.0002,0.0007,0.0001,67.71,0.000,67.82,,
A179,Tetradrachm,,,Antioch,Domitian,<null>,<null>,14.32,Ashmolean Museum,,,,0.092,0.61,27.32,0.015,0.0082,0.55,0.006,0.1039,0.0042,0.0002,0.0002,0.0068,71.26,0.023,72.44,,
A169,Tetradrachm,,"Eagle left on club, wreath in beak, crescent between legs B",Antioch,Vespasian,<null>,<null>,14.71,Ashmolean Museum,,,"CRS series 1, Kraay Mint B, RPC II Group 4, Eagle and crescent",0.014,0.53,28.06,0.001,0.0033,0.21,0.017,0.0008,0.0001,0.0001,0.0001,0.0001,71.13,0.027,71.90,,
A178,Tetradrachm,,,Antioch,Domitian,<null>,<null>,13.57,Ashmolean Museum,,,,0.105,0.59,30.73,0.005,0.0115,0.33,0.008,0.0292,0.0012,0.0000,0.0001,0.0066,68.15,0.027,69.10,,
A166,Tetradrachm,"Vespasian, bust left","Titus, bust right, star behind head  B",Antioch,Vespasian,<null>,<null>,14.62,Ashmolean Museum,,,"Alexandria style, Kraay Mint A, RPC II Group 2, Titus",0.026,0.53,34.75,0.003,0.0043,0.96,0.022,0.0010,0.0001,0.0000,0.0001,0.0001,63.68,0.024,65.19,,
A174,Tetradrachm,,Eagle left on club B,Antioch,Vespasian,<null>,<null>,14.37,Ashmolean Museum,,,"Alexandria style, Kraay Mint C, RPC II Group 3, Eagle",0.021,0.52,33.60,0.006,0.0042,0.36,0.025,0.0202,0.0049,0.0001,0.0001,0.0003,65.41,0.021,66.31,,
A173,Tetradrachm,,Eagle left on club B,Antioch,Vespasian,<null>,<null>,13.82,Ashmolean Museum,,,"Alexandria style, Kraay Mint C, RPC II Group 3, Eagle",0.023,0.51,32.04,0.003,0.0035,0.31,0.025,0.0103,0.0009,0.0001,0.0001,0.0002,67.06,0.014,67.90,,
A175,Tetradrachm,,Eagle left on club G,Antioch,Vespasian,<null>,<null>,14.83,Ashmolean Museum,,,"Alexandria style, Kraay Mint C, RPC II Group 3, Eagle",0.026,0.49,32.08,0.007,0.0051,0.26,0.028,0.0128,0.0001,0.0000,0.0000,0.0003,67.02,0.056,67.84,,
A168,Tetradrachm,,"Eagle left on club, wreath in beak B",Antioch,Vespasian,<null>,<null>,14.06,Ashmolean Museum,,,"CRS series 1, Kraay Mint B, RPC II Group 4, Eagle",0.014,0.54,31.56,0.003,0.0036,0.27,0.017,0.0101,0.0006,0.0001,0.0001,0.0002,67.56,0.024,68.40,,
A171,Tetradrachm,,"Eagle on altar, date unclear",Antioch,Vespasian,<null>,<null>,14.24,Ashmolean Museum,,,"CRS Eagle on altar, RPC II Group 8",0.022,0.68,34.87,0.023,0.0025,0.59,0.027,0.2599,0.0021,0.0000,0.0001,0.0001,63.49,0.030,64.79,,
A172,Tetradrachm,,Eagle left on club B,Antioch,Vespasian,<null>,<null>,14.85,Ashmolean Museum,,,"Alexandria style, Kraay Mint C, RPC II Group 3, Eagle",0.025,0.50,33.35,0.002,0.0037,0.64,0.022,0.0008,0.0001,0.0002,0.0002,0.0003,65.39,0.061,66.59,,
A170,Tetradrachm,,"Eagle left on club, crescent between legs B",Antioch,Vespasian,<null>,<null>,14.18,Ashmolean Museum,,,"CRS series 1, RPC II Group 5, Eagle and crescent",0.014,0.52,28.40,0.002,0.0037,0.27,0.020,0.0009,0.0001,0.0000,0.0001,0.0001,70.76,0.020,71.56,,
A181,Tetradrachm,,,Antioch,Nerva,<null>,<null>,15.05,Ashmolean Museum,,,,0.013,0.61,22.31,0.002,0.0036,0.10,0.023,0.0008,0.0001,0.0000,0.0001,0.0002,76.94,0.000,77.64,,
A165,Tetradrachm,Vespasian bust left,"Titus bust right, star behind B",Antioch,Vespasian,<null>,<null>,14.09,Ashmolean Museum,,,"Alexandria style, Kraay Mint A, RPC II Group 2, Titus",0.017,0.52,34.81,0.004,0.0038,0.50,0.017,0.0009,0.0005,0.0001,0.0001,0.0002,64.10,0.024,65.14,,
A176,Tetradrachm,Bust of Titus,"Eagle left, wreath in beak, other symbols off flan",Judaea,Vespasian,<null>,<null>,14.03,Ashmolean Museum,,,"CRS Southern mint, RPC II Group 6; Walker XRF 1483: 49.5%",0.037,0.34,55.80,0.002,0.0083,0.32,0.046,0.0009,0.0001,0.0000,0.0001,0.0002,43.45,0.001,44.11,,
A163,Tetradrachm,Bare head right. ,"Eagle standing left on laurel branch, palm before.",Antioch,Galba,<null>,<null>,14.91,Ashmolean Museum,,,Group 3,0.013,0.53,27.81,0.001,0.0034,0.25,0.018,0.0009,0.0001,0.0001,0.0001,0.0003,71.35,0.029,72.15,,
Y73,didrachm,Agrippina not veiled,,Caesarea,Nero + Agrippina,<null>,<null>,<null>,Yale University,2001.87.5092,,"Early group, legends ending GERMANI.",0.020,0.47,28.76,0.002,0.0041,0.48,0.010,0.0008,0.0001,0.0000,0.0001,0.0001,70.26,0.000,71.21,,
Y64,drachm,,Mt Argaeus,Caesarea,Tiberius,<null>,<null>,<null>,Yale University,2001.87.5100,,,0.109,0.49,35.86,0.002,0.0115,0.40,0.011,0.0013,0.0007,0.0003,0.0009,0.0070,63.11,0.001,64.00,,
Y26,tetradrachm,"ΓΑΙΟΥ ΚΑΙΣΑΡΟΣ ΣΕΒΑ ΓΕΡΜ, laur. hd. r. ","ΑΓΡΙΠΠΕΙΝΗΣ ΑΝΤΙΟ ΜΗΤΡΟ, draped bust of Agrippina I, r., to r., ΕΤ Γ",Antioch,Caligula,<null>,<null>,<null>,Yale University,2001.87.4524,,Year 3 dot,0.003,0.45,48.34,0.006,0.0043,0.51,0.006,0.0069,0.0001,0.0001,0.0001,0.0001,50.66,0.009,51.63,,
Y66,drachm,,Mt Argaeus,Caesarea,Tiberius,<null>,<null>,<null>,Yale University,2001.87.5098,,,0.007,0.62,31.49,0.001,0.0016,0.25,0.005,0.0009,0.0001,0.0001,0.0001,0.0001,67.62,0.001,68.50,,
Y72,didrachm,,,FALSE,Nero + Divus Claudius,<null>,<null>,<null>,Yale University,2001.87.5093,,,0.136,0.00,97.62,0.038,0.0143,0.48,0.130,0.0076,0.0114,0.0009,0.0001,0.0009,1.56,0.001,2.04,,
Y67,drachm,,Mt Argaeus,Caesarea,Tiberius,<null>,<null>,<null>,Yale University,2001.87.5099,,,0.009,0.50,30.73,0.001,0.0022,0.43,0.006,0.0010,0.0001,0.0000,0.0001,0.0001,68.32,0.001,69.25,,
Y14,tetradrachm,,,Antioch,Nerva,<null>,<null>,<null>,Yale University,2001.87.4543,,Year 1,0.017,0.60,22.00,0.001,0.0027,0.11,0.023,0.0044,0.0001,0.0000,0.0001,0.0001,77.25,0.001,77.95,,
Y37,tetradrachm,,Eagle on club,Antioch,Vespasian,<null>,<null>,<null>,Yale University,2001.87.5075,,"CRS series 2, RPC II Group 7, Eagle",0.020,0.45,36.63,0.051,0.0051,0.30,0.019,0.0057,0.0003,0.0002,0.0001,0.0003,62.47,0.047,63.27,,
Y70,didrachm,"ΑΥΤ ΚΑΙ ΔΟΜΙΤΙΑΝΟC CΕΒΑCTOC ΓΕΡΜ, laur. hd. r. ","ΕΤΟ - ΙΓ, Athena stg. L.",Caesarea,Domitian,<null>,<null>,<null>,Yale University,2005.6.344,,yr 13,0.196,0.04,54.44,0.021,0.0248,0.40,0.016,0.0073,0.0001,0.0001,0.0001,0.0277,44.82,0.001,45.26,,
Y19,tetradrachm,,,Antioch,Nero,<null>,<null>,<null>,Yale University,2001.87.4533,,10/112,0.023,0.53,31.80,0.001,0.0060,0.43,0.019,0.0014,0.0001,0.0002,0.0001,0.0002,67.15,0.034,68.15,,
Y16,tetradrachm,,,Antioch,Domitian,<null>,<null>,<null>,Yale University,2001.87.4541,,Year 9,0.014,0.59,21.80,0.016,0.0051,0.07,0.017,0.0016,0.0001,0.0004,0.0033,0.0003,77.48,0.001,78.14,,
Y17,tetradrachm,,,Antioch,Domitian,<null>,<null>,<null>,Yale University,2001.87.4542,,Year 11,0.086,0.56,29.28,0.007,0.0129,0.31,0.005,0.0102,0.0001,0.0000,0.0001,0.0209,69.69,0.013,70.58,,
Y74,didrachm,"ΑΥΤ ΚΑΙ ΔΟΜΙΤΙΑΝΟC CΕΒΑCTOC ΓΕΡΜ, laur. hd. r. ","ΕΤΟ - ΙΓ, Athena stg. l .",Caesarea,Domitian,<null>,<null>,<null>,Yale University,2001.87.5090,,,0.181,0.02,51.04,0.029,0.0259,0.19,0.016,0.0018,0.0001,0.0001,0.0001,0.0292,49.47,0.003,49.68,,
Y33,tetradrachm,,Eagle left on club B,Antioch,Vespasian,<null>,<null>,<null>,Yale University,2001.87.5073,,"CRS series 2, RPC II Group 7, Eagle",0.030,0.36,41.77,0.004,0.0043,0.74,0.019,0.0012,0.0004,0.0000,0.0001,0.0001,57.06,0.005,58.17,,
Y75,drachm,,,Caesarea,Nero + Divus Claudius,<null>,<null>,<null>,Yale University,2001.87.5096,,"Later group, legends ending GERMA.",0.023,0.36,39.66,0.002,0.0150,0.66,0.042,0.0726,0.0003,0.0002,0.0001,0.0006,59.11,0.057,60.19,,
Y68,didrachm,,,Caesarea,Nero + Divus Claudius,<null>,<null>,<null>,Yale University,2005.6.343,,"Later group, legends ending GERMA.",0.028,0.51,27.60,0.005,0.0021,0.15,0.015,0.0015,0.0001,0.0001,0.0001,0.0001,71.64,0.055,72.35,,
Y79,didrachm,,Libertas stg l,Caesarea,Nerva,<null>,<null>,<null>,Yale University,2001.87.5087,,,0.183,0.14,52.85,0.007,0.0304,0.13,0.015,0.0017,0.0001,0.0000,0.0001,0.0213,46.43,0.191,46.89,,
Y53,cistophorus,,,Asia,Domitian,<null>,<null>,<null>,Yale University,2001.87.5082,,Rome style.,0.005,0.05,20.47,0.003,0.0032,0.29,0.001,0.0015,0.0001,0.0001,0.0001,0.0001,79.06,0.118,79.51,,
Y86,tetradrachm,,Zeus,Cyprus,Vespasian,<null>,<null>,<null>,Yale University,2001.87.5693,,,0.016,0.59,17.87,0.008,0.0032,0.28,0.019,0.1630,0.0001,0.0001,0.0001,0.0036,81.02,0.023,81.92,,
Y13,tetradrachm,,,Antioch,Domitian,<null>,<null>,<null>,Yale University,2001.87.4540,,Year 8,0.023,0.58,31.27,0.001,0.0046,0.14,0.029,0.0017,0.0001,0.0000,0.0001,0.0003,67.95,0.001,68.67,,
Y34,tetradrachm,,Eagle left on club B,Antioch,Vespasian,<null>,<null>,<null>,Yale University,2001.87.5076,,"CRS series 1, Kraay Mint B, RPC II Group 4, Eagle",0.016,0.46,31.98,0.004,0.0062,0.30,0.024,0.0153,0.0001,0.0000,0.0001,0.0001,67.16,0.027,67.95,,
Y12,tetradrachm,,,Antioch,Domitian,<null>,<null>,<null>,Yale University,2001.87.4539,,Year 8,0.015,0.09,33.59,0.002,0.0033,0.17,0.047,0.0016,0.0001,0.0000,0.0001,0.0001,66.08,0.001,66.34,,
Y23,tetradrachm,,Eagle on altar,Antioch,Vespasian,<null>,<null>,<null>,Yale University,2001.87.4537,,"CRS eagle on altar, RPC II Group 8",0.020,0.49,34.35,0.010,0.0030,0.81,0.031,0.2866,0.0001,0.0001,0.0001,0.0001,63.98,0.021,65.30,,
1997-466,tetradrachm,,Eagle left on club A,Antioch,Vespasian,<null>,<null>,13.82,Private,1997-466,,"CRS series 2, Eagle",0.017,0.42,31.86,0.021,0.0040,0.36,0.021,0.0637,0.0007,0.0010,0.0000,0.0018,67.20,0.022,68.01,,
1997-467,tetradrachm,,Eagle on club B,Antioch,Vespasian,<null>,<null>,13.63,Private,1997-467,,"CRS series 2, Eagle",0.015,0.34,35.54,0.005,0.0032,0.63,0.010,0.0004,0.0005,0.0008,0.0000,0.0013,63.44,0.015,64.42,,
1997-277,tetradrachm,,Eagle left on club G,Antioch,Vespasian,<null>,<null>,13.7,Private,1997-277,,"CRS series 2, Eagle",0.016,0.39,34.80,0.028,0.0051,0.27,0.015,0.0025,0.0007,0.0010,0.0002,0.0017,64.45,0.016,65.13,,
1997-490,tetradrachm,,Eagle left on club G,Antioch,Vespasian,<null>,<null>,14.41,Private,1997-490,,"CRS series 1, Eagle",0.022,0.43,39.94,0.006,0.0071,0.34,0.021,0.0155,0.0008,0.0011,0.0001,0.0018,59.20,0.015,59.98,,
1997-217,tetradrachm,,Eagle on club B,Antioch,Vespasian,<null>,<null>,13.2,Private,1997-217,,"Alexandria style, Eagle",0.024,0.58,35.60,0.007,0.0046,0.50,0.032,0.0056,0.0007,0.0010,0.0002,0.0016,63.22,0.025,64.32,,
1997-100,tetradrachm,,"Eagle left on club, crescent between legs B",Antioch,Vespasian,<null>,<null>,14.31,Private,1997-100,,"CRS series 1, Eagle and crescent",0.011,0.56,30.59,0.014,0.0045,0.31,0.020,0.0011,0.0007,0.0010,0.0002,0.0017,68.46,0.027,69.36,,
KB940,tetradrachm,,Zeus,Cyprus,Vespasian,<null>,<null>,<null>,Private,940,,,0.016,0.31,17.59,0.007,0.0048,1.52,0.011,0.0064,0.0021,0.0010,0.0003,0.0017,80.42,0.103,82.36,,
1997-99,tetradrachm,,Eagle left on club A,Antioch,Vespasian,<null>,<null>,14.65,Private,1997-99,,"CRS series 1, Eagle",0.020,0.52,36.41,0.004,0.0050,0.31,0.024,0.0001,0.0007,0.0010,0.0005,0.0017,62.69,0.018,63.54,,
1997-283,tetradrachm,,Eagle left on club B,Antioch,Vespasian,<null>,<null>,14.51,Private,1997-283,,"Alexandria style, Eagle",0.020,0.51,30.77,0.006,0.0051,0.37,0.024,0.0110,0.0019,0.0009,0.0001,0.0015,68.24,0.033,69.16,,
1997-102,tetradrachm,,Eagle right on thunderbolt,Antioch,Vespasian,<null>,<null>,13.9,Private,1997-102,,"Alexandria style, Eagle on thunderbolt",0.022,0.57,30.70,0.006,0.0073,0.20,0.028,0.0002,0.0008,0.0011,0.0000,0.0019,68.46,0.003,69.23,,
KB211,tetradrachm,Alex style,,Antioch,Domitian,<null>,<null>,<null>,Private,211,,,0.027,0.50,27.94,0.005,0.0027,0.08,0.044,0.0002,0.0007,0.0010,0.0001,0.0017,71.40,0.003,71.98,,
1997-113,tetradrachm,,TRISKAIDEKATOY,Antioch,Domitian,<null>,<null>,<null>,Private,1997-113,,,0.081,0.55,23.86,0.002,0.0095,0.39,0.008,0.0004,0.0007,0.0010,0.0002,0.0016,75.06,0.043,76.04,,
1997-109,tetradrachm,Year 8,,Antioch,Domitian,<null>,<null>,<null>,Private,1997-109,,Alexandria style,0.022,0.64,29.58,0.014,0.0054,0.10,0.029,0.0002,0.0020,0.0010,0.0014,0.0287,69.57,0.003,70.31,,
KB527,tetradrachm,,H line above,Antioch,Domitian,<null>,<null>,<null>,Private,527,,,0.016,0.15,29.73,0.013,0.0035,0.12,0.047,0.0002,0.0007,0.0010,0.0004,0.0017,69.91,0.003,70.19,,
1997-278,tetradrachm,Titus,"Eagle left, details unclear",Judaea,Vespasian,<null>,<null>,<null>,Private,1997-278,,"Southern mint, Titus",0.015,0.34,44.44,0.007,0.0061,0.54,0.019,0.0002,0.0007,0.0010,0.0000,0.0016,54.64,0.003,55.51,,
Y52,tetradrachm,,,Pergamon/Ephesus?,Claudius,<null>,<null>,<null>,Yale University,2001.87.5462,,,0.016,0.48,23.82,0.008,0.0077,0.74,0.012,0.0009,0.0007,0.0010,0.0004,0.0017,74.86,0.056,76.13,,
KB1303,tetradrachm,Alex style,,Antioch,Nerva,<null>,<null>,<null>,Private,1303,,,0.011,0.69,22.14,0.003,0.0035,0.10,0.023,0.0002,0.0007,0.0009,0.0002,0.0016,77.02,0.003,77.82,,
1997-257,tetradrachm,Lituus on obverse,Eagle on club G,Antioch,Vespasian,<null>,<null>,14.64,Private,1997-257,,"Alexandria style, Eagle and lituus",0.015,0.47,34.12,0.004,0.0039,1.17,0.016,0.0305,0.0007,0.0010,0.0002,0.0017,64.12,0.038,65.81,,
1997-470,tetradrachm,,Eagle on club G,Antioch,Vespasian,<null>,<null>,13.73,Private,1997-470,,"CRS series 2, Eagle",0.020,0.49,34.62,0.020,0.0039,0.28,0.018,0.0030,0.0071,0.0010,0.0008,0.0018,64.50,0.033,65.31,,
KB271,tetradrachm,,Zeus,Cyprus,Vespasian,<null>,<null>,<null>,Private,271,,,0.019,0.30,16.16,0.010,0.0062,1.55,0.011,0.0002,0.0007,0.0009,0.0001,0.0016,81.84,0.100,83.79,,
1997-87,tetradrachm,,,Antioch,Domitian,<null>,<null>,<null>,Private,1997-87,,Alex style,0.012,0.65,22.47,0.004,0.0026,0.08,0.021,0.0002,0.0007,0.0009,0.0001,0.0016,76.75,0.003,77.49,,
1997-161,tetradrachm,,H,Antioch,Domitian,<null>,<null>,<null>,Private,1997-161,,,0.018,0.08,30.23,0.008,0.0038,0.17,0.050,0.0002,0.0007,0.0010,0.0008,0.0018,69.43,0.003,69.68,,
KB210,tetradrachm,,Eagle on club B,Antioch,Vespasian,<null>,<null>,14.55,Private,210,,"CRS series 1, Eagle",0.041,0.49,35.16,0.002,0.0040,0.43,0.039,0.0001,0.0006,0.0008,0.0003,0.0014,63.83,0.002,64.75,,
1997-112,tetradrachm,,ENDEKATOY,Antioch,Domitian,<null>,<null>,<null>,Private,1997-112,,,0.093,0.59,27.70,0.001,0.0083,0.39,0.005,0.0012,0.0007,0.0010,0.0000,0.0017,71.20,0.017,72.19,,
KB521,tetradrachm,,Eagle on altar,Antioch,Vespasian,<null>,<null>,14.03,Private,521,,CRS Eagle on altar,0.028,0.56,30.51,0.010,0.0052,1.24,0.029,0.7339,0.0019,0.0011,0.0002,0.0018,66.85,0.023,68.68,,
1997-465,tetradrachm,,Eagle left on club,Antioch,Vespasian,<null>,<null>,14.32,Private,1997-465,,"CRS series 2, Eagle",0.009,0.47,24.22,0.009,0.0025,0.25,0.012,0.0156,0.0019,0.0009,0.0001,0.0016,74.99,0.021,75.73,,
1997-469,tetradrachm,,Eagle on club B,Antioch,Vespasian,<null>,<null>,14.45,Private,1997-469,,"Series 2, same obv die as 468, Eagle",0.020,0.38,33.55,0.016,0.0053,0.59,0.023,0.0452,0.0074,0.0011,0.0001,0.0019,65.35,0.011,66.33,,
1997-256,tetradrachm,,"Eagle left on club with wreath in beak, crescent between legs",Antioch,Vespasian,<null>,<null>,14.66,Private,1997-256,,CRS series 1; Eagle and crescent,0.009,0.49,26.27,0.003,0.0044,0.25,0.017,0.0001,0.0005,0.0007,0.0001,0.0012,72.93,0.017,73.69,,
1997-215,tetradrachm,,Eagle left on club B,Antioch,Vespasian,<null>,<null>,14.65,Private,1997-215,,"CRS series 1, Eagle",0.012,0.52,27.57,0.005,0.0060,0.38,0.022,0.0204,0.0005,0.0007,0.0018,0.0012,71.45,0.020,72.36,,
1997-106,tetradrachm,,Eagle left on club D,Antioch,Vespasian,<null>,<null>,14.11,Private,1997-106,,"Alexandria style, Eagle",0.040,0.56,31.20,0.006,0.0031,0.55,0.031,0.0340,0.0007,0.0009,0.0002,0.0016,67.57,0.003,68.69,,
1997-468,tetradrachm,,Eagle left on club B,Antioch,Vespasian,<null>,<null>,<null>,Private,1997-468,,"CRS series 2, same obv die as 469, Eagle",0.009,0.42,29.18,0.006,0.0026,0.68,0.008,0.0005,0.0008,0.0011,0.0000,0.0018,69.67,0.017,70.79,,
1997-104,tetradrachm,,Eagle on club B,Antioch,Vespasian,<null>,<null>,14.52,Private,1997-104,,"Alexandria style, Eagle",0.019,0.51,31.37,0.004,0.0042,1.33,0.026,0.0001,0.0006,0.0008,0.0001,0.0014,66.70,0.042,68.57,,
1997-284,tetradrachm,Bust of Vespasian right," Bust of Titus right, star behind head B",Antioch,Vespasian,<null>,<null>,14.07,Private,1997-284,,"Alexandria style, Titus",0.021,0.52,33.45,0.010,0.0059,0.75,0.026,0.0002,0.0009,0.0013,0.0003,0.0022,65.18,0.028,66.48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
